,pop,energy,duration,lost,dead
0,[ 5  7 16  0],6004.690625000001,258,41,193
1,[  7   3 230   0],608.5999999999993,244,59,106
2,[ 4  8 14  0],1906.6062499999996,230,47,94
3,[ 7  4 38  0],5558.709375000001,420,49,192
4,[ 7  9 13  0],4705.009375000003,368,42,238
5,[  7   8 189   0],4338.421875000003,376,36,134
6,[  6   1 154   0],5708.184375000001,368,32,196
7,[ 6  9 64  0],564.8218749999997,286,49,96
8,[  7   4 229   0],160.01562499999932,332,52,93
9,[  4   3 233   0],1169.5937500000005,356,58,163
10,[ 4  4 25  0],2545.4343750000016,270,52,169
11,[  7   2 231   0],4824.065625000001,281,41,216
12,[  7   2 216   0],5871.450000000002,382,39,126
13,[  7   3 221   0],888.3249999999994,309,54,131
14,[ 7  8 15  0],1521.1468750000004,289,43,152
15,[  5   3 191   0],4360.053125000002,335,45,121
16,[  5   1 229   0],4135.137500000002,336,44,126
17,[  4   6 131   0],446.5656250000002,366,40,99
18,[  7   2 173   0],885.3343750000008,436,38,166
19,[  5   4 106   0],5144.225000000001,247,43,183
20,[  6   2 142   0],107.47812499999912,300,53,145
21,[  5   9 156   0],6453.937500000004,316,45,168
22,[  7   1 232   0],1236.8093750000005,333,54,98
23,[  7   2 225   0],4050.3500000000013,329,46,183
24,[  4   7 229   0],5129.021875,410,42,158
25,[ 7  4 11  0],3391.884374999999,305,41,147
26,[ 5  4 63  0],1996.418749999999,283,60,100
27,[  4   1 235   0],4506.134375000004,307,44,173
28,[  4   5 111   0],1348.9062500000011,310,54,142
29,[5 4 7 0],3577.2312500000007,329,43,145
30,[  6   4 158   0],1756.4156250000005,412,39,99
31,[ 6  9 51  0],4182.865625000001,330,47,138
32,[  6   3 102   0],448.57812500000057,398,53,94
33,[  7   3 148   0],4389.65,292,38,165
34,[  5   9 226   0],947.6812500000002,410,53,94
35,[  4   3 154   0],3472.031250000001,349,50,130
36,[  6   4 145   0],6505.806250000002,321,47,257
37,[  6   1 233   0],4938.475,355,43,214
38,[  4   6 193   0],4992.840625000001,353,34,130
39,[ 6  3 39  0],5841.403125000003,308,39,167
40,[  6   4 189   0],1593.4437500000008,235,41,98
41,[  7   4 229   0],4344.612500000002,387,53,185
42,[  4   6 224   0],5202.475000000001,373,44,148
43,[  7   9 224   0],240.14687500000068,352,33,94
44,[  5   9 226   0],4161.403125000003,319,45,100
45,[ 4  8 12  0],1711.584375,324,38,92
46,[4 1 8 0],3508.5687500000017,305,46,101
47,[  7   3 196   0],4040.412499999999,342,47,185
48,[  5   6 169   0],293.29062500000106,250,42,107
49,[  4   4 229   0],4311.315625000001,432,51,191
50,[ 7  6 26  0],1150.5343750000009,296,45,172
51,[5 4 9 0],4937.846875000002,325,53,193
52,[  6   3 124   0],5508.309375000002,232,39,181
53,[  5   9 227   0],613.1406250000008,355,43,110
54,[  5   2 233   0],5686.584375000003,364,37,256
55,[ 7  4 47  0],5587.359375000001,392,28,218
56,[  7   7 139   0],4269.506250000002,391,45,194
57,[  4   8 148   0],4575.084375000003,374,34,172
58,[  5   9 227   0],5327.675000000001,421,36,188
59,[ 5  2 58  0],5144.4281249999985,303,46,181
60,[ 5  3 65  0],5363.650000000003,313,40,279
61,[  4   4 192   0],1652.9812499999994,251,47,133
62,[  4   2 100   0],3633.684375000003,325,39,159
63,[ 5  6 11  0],5026.596875000002,300,31,218
64,[  4   6 205   0],4807.312500000001,443,31,173
65,[ 4  4 47  0],5577.362500000002,420,42,134
66,[  7   2 227   0],3736.7468750000007,255,43,159
67,[  5   4 231   0],5938.737500000001,252,29,143
68,[  5   4 138   0],4416.296875000002,326,41,126
69,[  5   3 187   0],1003.3562499999994,284,47,147
70,[  5   9 226   0],1402.837500000001,397,52,168
71,[  7   1 178   0],7074.409374999999,393,41,217
72,[ 5  2 50  0],1637.6156250000006,329,48,148
73,[  5   9 226   0],1016.2593750000001,343,59,166
74,[  7   2 128   0],3521.3062500000024,395,41,125
