,t1,t2,t3,t4,energy,old duration,lost,dead,duration
0,6,4,26,0,34510.55275000009,395,407,100000000000000,36
1,6,5,93,1,34518.05856250012,307,425,100000000000000,104
2,5,5,21,1,34533.75809375011,234,400,100000000000000,31
3,6,5,12,1,34552.06006250012,226,388,100000000000000,23
4,7,4,229,0,34572.219968750054,298,443,100000000000000,240
5,5,4,191,0,34573.254312500125,298,380,100000000000000,200
6,6,4,10,0,34575.8254375001,260,396,100000000000000,20
7,4,5,231,1,34576.06462500005,443,358,100000000000000,240
8,6,4,230,0,34799.6330625001,243,388,100000000000000,240
9,5,6,148,1,34847.943031250084,361,371,100000000000000,159
10,5,5,228,1,34856.33753125005,441,364,100000000000000,238
11,5,4,82,0,34870.03409375001,335,374,100000000000000,91
12,5,4,200,0,34875.730062500086,336,368,100000000000000,209
13,6,6,228,1,34876.79696875013,442,438,100000000000000,240
14,4,5,221,1,34883.89875000004,433,353,100000000000000,230
15,7,5,62,1,34895.89284375001,277,373,100000000000000,74
16,4,4,203,0,34898.87643750015,267,374,100000000000000,211
17,7,4,229,0,34900.27009375001,285,393,100000000000000,240
18,4,5,168,1,34913.404625000076,380,347,100000000000000,177
19,5,5,88,1,34914.31406249997,301,359,100000000000000,98
20,5,4,9,0,34919.298437500125,256,352,100000000000000,18
21,6,5,132,1,34919.87618750002,346,379,100000000000000,143
22,4,4,87,0,34925.07634375009,390,380,100000000000000,95
23,7,5,9,1,34925.55515625005,224,391,100000000000000,21
24,5,4,231,0,34926.86275000013,258,387,100000000000000,240
25,4,6,57,1,34928.673812500085,269,391,100000000000000,67
26,5,4,168,0,34929.04234375,379,383,100000000000000,177
27,4,4,10,0,34938.84206250002,287,389,100000000000000,18
28,6,6,71,1,34940.700093750085,285,404,100000000000000,83
29,4,7,96,1,35114.56546875009,308,395,100000000000000,107
30,7,4,217,0,35175.96193750018,364,369,100000000000000,228
31,5,7,91,1,35180.94571875011,304,394,100000000000000,103
32,5,7,129,1,35185.48540625012,342,367,100000000000000,141
33,6,4,127,0,35186.709406250164,426,380,100000000000000,137
34,4,7,124,1,35198.26434375014,336,401,100000000000000,135
35,5,4,231,0,35205.85009375009,389,410,100000000000000,240
36,6,7,17,1,35219.052343750096,231,365,100000000000000,30
37,6,3,146,0,35222.55318750011,247,406,100000000000000,155
38,7,6,18,1,35226.052031250016,233,360,100000000000000,31
39,4,4,126,0,35234.355281250115,302,348,100000000000000,134
40,7,6,35,1,35250.523312499994,250,370,100000000000000,48
41,7,4,72,0,35252.97587500003,348,368,100000000000000,83
42,7,6,62,1,35252.981093750066,277,370,100000000000000,75
43,4,4,232,0,35261.06490625004,247,353,100000000000000,240
44,7,7,184,1,35272.35337500013,399,360,100000000000000,198
45,6,6,87,1,35276.069812500034,301,351,100000000000000,99
46,7,6,112,1,35278.897781250016,327,359,100000000000000,125
47,4,8,99,1,35424.54865625011,311,373,100000000000000,111
48,6,8,111,1,35447.32875000018,325,354,100000000000000,125
49,6,8,198,1,35477.696187500114,412,382,100000000000000,212
50,6,8,124,1,35480.51106250009,338,402,100000000000000,138
51,7,4,104,0,35482.59553125014,436,401,100000000000000,115
52,4,8,130,1,35493.034875000136,342,376,100000000000000,142
53,4,4,161,0,35494.18946875013,429,352,100000000000000,169
54,6,8,226,1,35497.411875000085,440,372,100000000000000,240
55,4,4,102,0,35500.02125000013,328,392,100000000000000,110
56,7,4,198,0,35515.57221875011,348,368,100000000000000,209
57,6,4,10,0,35520.147562500155,413,371,100000000000000,20
58,5,8,66,1,35521.47262500016,279,363,100000000000000,79
59,7,7,226,1,35548.389218750046,441,327,100000000000000,240
60,6,7,216,1,35554.81640625001,430,338,100000000000000,229
61,5,7,103,1,35555.16843750005,316,326,100000000000000,115
62,6,7,27,1,35568.18365625003,241,353,100000000000000,40
63,4,4,162,0,35577.113281250044,357,362,100000000000000,170
64,4,8,88,1,35579.9746875001,300,406,100000000000000,100
65,6,7,144,1,35582.37721875,358,326,100000000000000,157
66,4,7,224,1,35590.432906250026,436,377,100000000000000,235
67,6,3,224,0,35598.60006250007,393,346,100000000000000,233
68,4,7,180,1,35616.229375,392,346,100000000000000,191
69,7,9,10,1,35714.05575000011,225,381,100000000000000,26
70,4,4,175,0,35744.889531250126,381,370,100000000000000,183
71,4,4,41,0,35753.93040625011,363,366,100000000000000,49
72,5,9,196,1,35761.06343750011,409,361,100000000000000,210
73,4,9,167,1,35763.42234375015,379,386,100000000000000,180
74,5,9,199,1,35765.42850000008,412,366,100000000000000,213
75,5,4,126,0,35765.758718750134,408,359,100000000000000,135
76,6,9,214,1,35785.577875000134,428,382,100000000000000,229
77,7,9,197,1,35819.855625000164,412,343,100000000000000,213
78,7,9,102,1,35825.68343750015,317,395,100000000000000,118
79,5,8,11,1,35842.31046875007,224,343,100000000000000,24
80,6,8,207,1,35846.6246875,421,329,100000000000000,221
81,5,8,227,1,35849.428750000036,440,343,100000000000000,240
82,5,4,35,0,35855.97621875006,426,333,100000000000000,44
83,7,8,225,1,35863.27250000003,440,319,100000000000000,240
84,7,8,225,1,35867.32940625004,440,326,100000000000000,240
85,5,8,212,1,35872.29290625,425,336,100000000000000,225
86,6,8,175,1,35872.93150000003,389,341,100000000000000,189
87,5,8,196,1,35881.7725,409,341,100000000000000,209
88,4,8,228,1,35889.53590625,440,339,100000000000000,240
89,6,5,126,0,35949.580500000135,340,342,100000000000000,137
90,4,5,9,0,36070.63400000014,221,344,100000000000000,18
91,4,5,135,0,36072.84078125016,347,363,100000000000000,144
92,6,5,96,0,36097.08090625013,310,344,100000000000000,107
93,6,5,11,0,36115.29331250016,225,343,100000000000000,22
94,5,4,150,0,36121.917562500064,361,343,100000000000000,159
95,7,9,97,1,36126.16087500005,312,290,100000000000000,113
96,6,9,225,1,36130.77034375002,439,335,100000000000000,240
97,7,9,224,1,36132.14865625007,439,321,100000000000000,240
98,4,9,218,1,36143.82928125002,430,303,100000000000000,231
99,5,9,226,1,36154.37634375006,439,316,100000000000000,240
100,7,4,12,0,36166.86553125002,248,305,100000000000000,23
101,7,5,12,0,36196.318875000085,227,328,100000000000000,24
102,5,5,64,0,36209.637250000116,277,339,100000000000000,74
103,4,5,231,0,36252.170250000134,443,382,100000000000000,240
104,6,5,66,0,36254.4149687501,280,331,100000000000000,77
105,4,5,9,0,36264.144781250114,221,351,100000000000000,18
106,5,5,205,0,36281.77656250011,418,303,100000000000000,215
107,6,5,62,0,36317.85328125013,276,345,100000000000000,73
108,7,5,12,0,36331.27715625012,227,339,100000000000000,24
109,6,5,119,0,36333.98434375013,333,328,100000000000000,130
110,5,5,76,0,36335.127625000125,289,364,100000000000000,86
111,5,5,10,0,36343.854031250135,223,382,100000000000000,20
112,6,5,43,0,36360.69021875013,257,313,100000000000000,54
113,6,6,16,0,36373.22446875015,230,361,100000000000000,28
114,4,5,205,0,36393.12212500016,417,340,100000000000000,214
115,7,5,87,0,36393.906937500135,302,353,100000000000000,99
116,5,5,175,0,36395.6157812501,388,338,100000000000000,185
117,4,5,9,0,36397.68734375011,221,345,100000000000000,18
118,5,5,37,0,36404.2998750001,250,353,100000000000000,47
119,5,5,230,0,36409.585125000085,443,342,100000000000000,240
120,7,5,12,0,36425.31762500016,227,322,100000000000000,24
121,5,5,12,0,36429.796531250075,225,339,100000000000000,22
122,5,5,230,0,36436.28871875011,443,340,100000000000000,240
123,6,5,116,0,36448.49506250012,330,333,100000000000000,127
124,4,5,81,0,36448.712093750095,293,358,100000000000000,90
125,6,5,11,0,36458.5225625001,225,341,100000000000000,22
126,5,5,10,0,36471.31531250008,223,348,100000000000000,20
127,7,5,182,0,36477.128156250095,397,345,100000000000000,194
128,6,5,215,0,36481.818312500065,429,330,100000000000000,226
129,6,5,33,0,36482.56206250011,247,312,100000000000000,44
130,5,5,175,0,36491.0683750001,388,291,100000000000000,185
131,7,5,129,0,36499.035250000095,344,332,100000000000000,141
132,4,5,180,0,36499.15484375016,392,374,100000000000000,189
133,5,5,229,0,36500.300281250114,442,312,100000000000000,239
134,7,5,230,0,36501.808125000105,445,372,100000000000000,242
135,4,5,143,0,36504.095687500114,355,343,100000000000000,152
136,6,5,11,0,36505.199968750116,225,358,100000000000000,22
137,4,5,187,0,36507.3561250001,399,348,100000000000000,196
138,4,5,69,0,36511.36671875012,281,304,100000000000000,78
139,4,5,9,0,36515.825281250094,221,337,100000000000000,18
140,4,5,76,0,36528.737687500114,288,321,100000000000000,85
141,5,4,106,0,36531.89093750009,301,322,100000000000000,115
142,5,5,14,0,36533.0822812501,227,315,100000000000000,24
143,6,6,217,0,36535.02318750013,431,347,100000000000000,229
144,4,5,9,0,36541.26412500012,221,333,100000000000000,18
145,5,5,135,0,36542.69265625017,348,348,100000000000000,145
146,7,5,79,0,36548.017187500096,294,353,100000000000000,91
147,4,5,128,0,36548.488250000075,340,360,100000000000000,137
148,7,5,12,0,36548.639750000126,227,352,100000000000000,24
149,7,5,73,0,36549.99825000009,288,338,100000000000000,85
150,5,5,68,0,36552.280437500114,281,328,100000000000000,78
151,5,5,81,0,36556.841562500136,294,322,100000000000000,91
152,6,5,229,0,36569.22178125011,443,345,100000000000000,240
153,6,5,227,0,36572.61981250013,441,337,100000000000000,238
154,6,5,95,0,36579.89750000013,309,336,100000000000000,106
155,5,5,10,0,36583.18912500011,223,358,100000000000000,20
156,4,5,95,0,36585.633687500114,307,292,100000000000000,104
157,6,5,56,0,36590.357875000096,270,309,100000000000000,67
158,6,5,107,0,36595.82809375013,321,341,100000000000000,118
159,7,5,93,0,36598.187812500095,308,318,100000000000000,105
160,6,5,18,0,36598.8266875001,232,367,100000000000000,29
161,6,5,11,0,36599.81746875012,225,361,100000000000000,22
162,5,5,101,0,36600.60384375012,314,373,100000000000000,111
163,5,5,10,0,36601.102812500125,223,347,100000000000000,20
164,5,5,117,0,36601.225250000134,330,327,100000000000000,127
165,7,5,228,0,36605.568687500134,443,326,100000000000000,240
166,5,5,10,0,36606.387875000095,223,349,100000000000000,20
167,7,5,86,0,36606.537843750135,301,327,100000000000000,98
168,6,4,230,0,36607.39571875012,251,315,100000000000000,240
169,6,5,52,0,36607.68906250009,266,330,100000000000000,63
170,5,5,88,0,36608.83240625011,301,313,100000000000000,98
171,4,5,11,0,36612.190437500096,223,312,100000000000000,20
172,6,5,46,0,36613.251000000135,260,318,100000000000000,57
173,6,4,30,0,36616.6431250001,398,332,100000000000000,40
174,7,5,117,0,36617.599375000114,332,294,100000000000000,129
175,5,5,96,0,36617.95371875012,309,350,100000000000000,106
176,4,5,9,0,36618.049875000135,221,327,100000000000000,18
177,6,5,218,0,36619.14925000013,432,324,100000000000000,229
178,7,5,228,0,36619.1998750001,443,318,100000000000000,240
179,5,5,129,0,36619.296906250114,342,357,100000000000000,139
180,7,6,90,0,36620.27643750011,305,337,100000000000000,103
181,5,5,203,0,36621.64471875012,416,357,100000000000000,213
182,7,5,69,0,36623.90303125009,284,369,100000000000000,81
183,4,5,136,0,36626.485218750095,348,353,100000000000000,145
184,6,4,101,0,36626.847906250114,253,324,100000000000000,111
185,4,5,231,0,36628.745125000096,443,331,100000000000000,240
186,4,5,231,0,36633.378843750135,443,336,100000000000000,240
187,5,5,113,0,36634.378906250124,326,354,100000000000000,123
188,4,5,31,0,36634.76315625012,243,352,100000000000000,40
189,7,5,136,0,36638.3198125001,351,320,100000000000000,148
190,5,5,10,0,36639.66131250011,223,350,100000000000000,20
191,6,5,126,0,36643.705750000154,340,354,100000000000000,137
192,4,5,124,0,36645.851687500115,336,320,100000000000000,133
193,5,4,207,0,36648.553250000135,379,325,100000000000000,216
194,5,6,218,0,36649.02640625012,431,309,100000000000000,229
