,t1,t2,t3,t4,energy,old duration,lost,dead,duration
0,7,5,163,1,5926.423437500002,334,84,253,175
1,7,5,228,1,7434.460937500003,399,48,172,240
2,7,5,21,1,7618.321875000003,192,59,247,33
3,7,3,67,0,7843.750000000004,362,66,246,77
4,5,4,80,0,8003.354687500002,208,51,168,89
5,5,7,31,1,8005.275000000002,200,71,237,43
6,6,6,139,1,8245.392187500005,309,55,254,151
7,5,8,125,1,8355.168750000006,294,58,360,138
8,6,8,213,1,8368.659375000003,383,61,332,227
9,4,4,190,0,8375.875000000004,246,58,541,198
10,6,4,152,0,8497.050000000001,253,58,194,162
11,4,4,181,0,8565.1,252,56,371,189
12,7,4,23,0,8600.751562500003,259,60,301,34
13,5,1,64,1,8622.587500000005,233,45,502,70
14,4,2,225,0,8641.142187500007,214,62,224,231
15,5,4,178,0,8644.303125000004,375,47,303,187
16,4,2,234,0,8688.145312500003,226,55,519,240
17,5,4,97,0,8722.0515625,199,53,287,106
18,4,6,230,1,8729.828125000004,398,68,233,240
19,6,1,7,1,8887.834375000004,177,55,499,14
20,5,3,184,0,8977.935937500004,196,60,497,192
21,7,5,66,1,8999.614062500004,237,52,195,78
22,5,6,229,1,9011.939062500009,398,71,231,240
23,5,5,129,1,9067.406250000004,298,57,220,139
24,5,1,94,1,9074.6,263,48,476,100
25,5,4,11,0,9176.554687500004,377,68,498,20
26,6,6,207,1,9220.598437500004,377,59,255,219
27,6,7,164,1,9368.217187500006,334,47,405,177
28,6,8,201,1,9411.800000000008,371,68,366,215
29,6,4,10,0,9415.7125,208,62,177,20
30,5,3,232,0,9469.4359375,296,60,365,240
31,5,1,6,1,9482.757812500002,175,49,387,12
32,4,2,7,0,9516.923437500003,206,58,211,13
33,4,8,12,1,9587.860937500003,180,71,244,24
34,4,7,77,1,9648.99375,245,62,269,88
35,6,4,195,0,9649.685937500006,339,46,500,205
36,7,4,159,0,9668.257812500002,284,48,262,170
37,6,2,8,1,9701.406250000002,178,65,497,16
38,6,2,8,1,9842.9671875,178,51,526,16
39,6,3,87,0,9960.742187500004,294,65,390,96
40,5,3,90,0,10011.471875000003,212,52,381,98
41,6,6,11,1,10091.196875,181,51,254,23
42,4,2,234,1,10091.671875000004,402,58,475,240
43,6,6,61,1,10093.543750000004,231,43,364,73
44,6,4,39,0,10117.185937500006,337,51,396,49
45,6,7,141,1,10164.389062500002,311,37,191,154
46,5,6,95,1,10235.1046875,264,60,213,106
47,5,3,24,0,10243.996875000008,234,50,208,32
48,4,3,97,0,10249.870312500003,202,79,314,104
49,6,2,10,0,10319.510937500003,255,62,369,18
50,6,3,94,0,10330.376562500003,297,53,359,103
51,7,8,92,1,10357.331250000003,263,55,307,107
52,4,4,136,1,10409.923437500003,304,53,520,144
53,5,7,13,1,10421.093750000002,182,53,225,25
54,5,4,231,0,10445.3453125,336,54,361,240
55,4,2,146,1,10483.4640625,314,57,477,152
56,6,4,230,0,10574.028125000004,236,44,494,240
57,6,2,32,1,10583.2140625,202,49,477,40
58,6,4,10,0,10586.493749999998,220,38,518,20
59,6,2,8,1,10615.0125,178,61,477,16
60,4,4,232,0,10619.831250000003,327,57,344,240
61,7,5,185,0,10622.425000000003,356,80,250,197
62,5,2,7,0,10656.571874999998,327,44,317,14
63,7,3,39,0,10719.242187499998,301,57,498,49
64,6,3,174,1,10753.3234375,344,56,497,183
65,6,4,230,0,10822.9296875,386,48,250,240
