,t1,t2,t3,t4,energy,old duration,lost,dead,duration
0,7,4,127,0,43505.63721874998,251,50,100000000000000,138
1,4,5,228,1,43507.762109375,396,51,100000000000000,237
2,4,2,6,0,43512.471812499985,180,53,100000000000000,12
3,6,5,11,1,43513.27740624999,181,43,100000000000000,22
4,5,5,42,1,43514.113937499984,211,53,100000000000000,52
5,7,5,100,1,43514.81128124998,271,74,100000000000000,112
6,7,2,179,0,43515.10529687499,286,65,100000000000000,188
7,7,5,228,1,43517.122015624984,399,52,100000000000000,240
8,7,4,230,0,43519.966609374984,306,71,100000000000000,241
9,5,6,133,1,43520.382078125,302,54,100000000000000,144
10,4,6,140,1,43521.088046875,308,44,100000000000000,150
11,5,5,230,1,43522.77099999999,399,53,100000000000000,240
12,6,4,208,0,43522.86382812499,397,44,100000000000000,218
13,4,4,234,0,43523.183546874985,344,47,100000000000000,242
14,5,6,229,1,43524.262171875,398,65,100000000000000,240
15,6,6,103,1,43524.850171875,273,50,100000000000000,115
16,6,6,148,1,43525.104937499986,318,47,100000000000000,160
17,5,6,83,1,43525.145640624985,252,43,100000000000000,94
18,4,2,182,0,43525.736328124985,349,38,100000000000000,188
19,6,5,167,1,43526.534218749985,337,50,100000000000000,178
20,5,5,230,1,43527.345671875,399,47,100000000000000,240
21,5,6,64,1,43528.184953125,233,65,100000000000000,75
22,7,6,13,1,43528.35617187498,184,57,100000000000000,26
23,5,5,151,1,43528.37837499999,320,39,100000000000000,161
24,6,5,73,1,43529.00206249998,243,59,100000000000000,84
25,7,5,20,1,43529.66778125,191,52,100000000000000,32
26,7,5,180,1,43529.75139062498,351,50,100000000000000,192
27,5,6,194,1,43530.01498437498,363,50,100000000000000,205
28,6,5,176,1,43530.419328124975,346,50,100000000000000,187
29,4,3,155,0,43531.337937499986,351,43,100000000000000,162
30,6,5,151,1,43532.67615624999,321,53,100000000000000,162
31,5,6,201,1,43534.21131249998,370,66,100000000000000,212
32,5,2,232,0,43535.147765624984,212,55,100000000000000,239
33,7,7,156,1,43535.77184374997,327,46,100000000000000,170
34,6,5,112,1,43536.28446875,282,53,100000000000000,123
35,4,3,168,0,43536.34774999999,234,49,100000000000000,175
36,5,5,203,1,43536.71176562498,372,59,100000000000000,213
37,6,6,217,1,43538.221906249986,387,50,100000000000000,229
