,id,power,x,y,parent,is_alive,TDMA,energy
0,0,"<Power Type=External, Energy=2000 mJ>",150.0,100.0,[],True,0,4
1,1,"<Power Type=Battery, Energy=1896 mJ>",10,10,[node3],True,5,1896.269468750004
2,2,"<Power Type=Battery, Energy=1948 mJ>",10,60,[node3],True,1,1948.23575
3,3,"<Power Type=Battery, Energy=1722 mJ>",30,11,[],True,2,1722.0867187500057
4,4,"<Power Type=Battery, Energy=1946 mJ>",43,35,[node3],True,3,1946.3383124999991
5,5,"<Power Type=Battery, Energy=1858 mJ>",260,30,[node8],True,4,1858.5202187499865
6,6,"<Power Type=Battery, Energy=1939 mJ>",270,50,[node8],True,1,1939.036093750003
7,7,"<Power Type=Battery, Energy=1843 mJ>",259,72,[node8],True,2,1843.3650937500006
8,8,"<Power Type=Battery, Energy=1832 mJ>",241,47,[],True,3,1832.2992812500017
9,9,"<Power Type=Battery, Energy=1895 mJ>",260,200,[node10],True,3,1895.7280625000014
10,10,"<Power Type=Battery, Energy=1806 mJ>",290,200,[],True,1,1806.6047500000107
11,11,"<Power Type=Battery, Energy=1894 mJ>",280,220,[node10],True,2,1894.9287187500008
12,12,"<Power Type=Battery, Energy=1934 mJ>",20,200,[node17],True,1,1934.5842187500018
13,13,"<Power Type=Battery, Energy=1882 mJ>",10,160,[node17],True,2,1882.1293750000002
14,14,"<Power Type=Battery, Energy=1934 mJ>",13,183,[node17],True,3,1934.4178125000028
15,15,"<Power Type=Battery, Energy=1961 mJ>",50,200,[node17],True,7,1961.9419062499953
16,16,"<Power Type=Battery, Energy=1882 mJ>",29,189,[node17],True,4,1882.358750000002
17,17,"<Power Type=Battery, Energy=1783 mJ>",35,204,[],True,5,1783.141312500015
18,18,"<Power Type=Battery, Energy=1733 mJ>",31,172,[node17],True,6,1733.6025625000148
19,19,"<Power Type=Battery, Energy=1895 mJ>",30,50,[node3],True,4,1895.1922187500008
20,20,"<Power Type=Battery, Energy=1915 mJ>",130,20,[],True,1,1915.5415937500043
21,21,"<Power Type=Battery, Energy=1947 mJ>",135,2,[node20],True,2,1947.2234062500008
22,22,"<Power Type=Battery, Energy=1919 mJ>",175,5,[node20],True,3,1919.2974374999965
