,pop,energy,duration,lost,dead
0,[ 4  8 64  0],10857.612500000001,31,57,165
1,[  7   4 177   0],5045.237499999998,31,38,204
2,[ 6  5 91  1],5300.9625,31,40,117
3,[  4   9 206   1],6584.040624999997,31,59,169
4,[  4   9 219   0],12936.687500000004,31,44,265
5,[  6   3 108   0],9783.750000000002,31,48,285
6,[7 4 0 1],5551.240625000001,31,47,214
7,[  6   8 103   0],11719.8125,31,32,223
8,[7 5 6 0],5117.896875000002,31,40,213
9,[ 7  9 57  0],11719.162500000004,31,44,224
10,[6 4 6 0],13142.546875000004,31,31,243
11,[  4   5 154   0],10951.212500000003,31,27,203
12,[ 7  5 65  0],10431.634375,31,32,169
13,[  7   9 224   0],11661.706250000001,31,24,145
14,[  7   9 210   0],8033.753124999997,31,45,145
15,[  4   3 102   1],7835.596875,31,38,107
16,[  4   7 210   1],7035.590625,31,41,160
17,[  4   8 131   0],11557.315625,31,35,189
18,[ 7  6 27  0],10574.962500000003,31,43,121
19,[  4   2 114   0],10214.046875,31,42,245
20,[  7   6 188   0],8822.209375,31,33,231
21,[ 5  7 87  0],10025.315625000001,31,37,183
22,[ 7  9 17  0],11236.19375,31,36,228
23,[  7   2 128   0],8541.396875000004,31,36,272
24,[ 7  6 10  0],9796.681250000001,31,40,184
25,[ 7  4 18  0],9896.075,31,42,284
26,[  7   7 151   0],5124.590624999999,31,54,154
27,[  6   8 219   0],11190.656250000004,31,32,217
28,[ 5  3 68  1],8727.100000000004,31,38,184
29,[  7   8 106   0],8838.771875,31,33,325
30,[  4   9 227   1],10105.940625000001,31,43,164
31,[  7   4 177   0],12900.8125,31,41,243
32,[ 6  5 91  1],7459.028125,31,58,96
33,[  4   5 142   1],4091.434374999997,31,70,143
34,[  4   9 219   0],14753.590625000003,31,33,231
35,[  6   1 140   1],5090.953125000002,31,49,236
36,[7 4 0 1],8825.265625000004,31,33,191
37,[  4   1 105   0],10527.143750000003,31,44,300
38,[7 5 6 0],10374.328125000004,31,36,180
39,[ 7  9 57  0],13858.150000000001,31,25,210
40,[ 5  4 50  0],12135.678125000002,31,37,241
41,[4 7 0 1],6499.628124999997,31,39,155
42,[7 5 1 0],9064.428125000002,31,52,171
43,[  7   9 224   0],11700.159375000003,31,48,265
44,[  7   9 210   0],8831.8875,31,40,231
45,[  4   3 102   1],8102.046875000002,31,33,188
46,[  4   7 127   1],6826.14375,31,42,156
47,[  5   2 233   0],10895.553125000004,31,49,250
48,[  7   7 171   0],9766.650000000001,31,37,220
49,[ 6  3 62  1],6408.206250000005,31,54,162
50,[  7   6 188   0],11386.990624999999,31,31,182
51,[ 5  7 87  0],11248.515625,31,27,268
52,[  4   9 227   1],5858.299999999998,31,45,235
53,[  4   3 128   1],5456.421874999998,31,50,195
54,[  4   6 230   1],6776.234374999998,31,33,152
55,[ 7  4 18  0],13056.221875000003,31,43,297
56,[  7   7 151   0],10914.471875,31,44,183
57,[ 4  3 42  1],9052.178125,31,32,145
58,[  7   8 111   1],8380.2125,31,41,167
59,[  7   8 106   0],10230.365625000002,31,46,200
