,pop,energy,duration,lost,dead
0,[  7   2 145   0],9027.075000000006,31,37,271
1,[ 6  9 15  0],10808.3625,31,45,231
2,[ 4  2 95  1],5534.653125,31,53,222
3,[  5   2 179   0],10719.275000000003,31,50,297
4,[ 4  8 59  1],7780.465624999998,31,36,219
5,[  4   9 190   0],10074.284374999997,31,36,208
6,[  4   2 213   0],9559.646874999999,31,48,292
7,[  7   6 183   1],6286.021875000002,31,41,153
8,[ 4  6 62  1],6468.290625000001,31,45,94
9,[5 3 1 0],10597.906250000004,31,32,283
10,[  4   4 101   0],12056.750000000004,31,53,290
11,[  4   9 150   1],8238.79375,31,40,193
12,[4 9 0 1],8509.625,31,45,141
13,[  6   1 210   1],4491.175,31,59,235
14,[  6   8 177   1],7542.006249999999,31,42,129
15,[  6   5 190   1],4765.012499999998,31,59,94
16,[6 1 0 0],10079.356250000003,31,41,284
17,[  7   9 183   0],13253.812500000004,31,38,232
18,[  7   9 194   1],8756.234375,31,41,173
19,[  4   9 164   0],9893.428125,31,43,201
