,pop,energy,duration,lost,dead
0,[ 6  4 44  0],43257.76025000002,363,54,100000000000000
1,[  7   3 226   0],43351.62993750001,373,46,100000000000000
2,[ 6  4 87  0],43235.782250000026,344,55,100000000000000
3,[  6   4 204   0],43213.90806250002,330,51,100000000000000
4,[  1   4 149   0],43026.76256250002,215,61,100000000000000
5,[4 4 8 0],43285.16971875,288,33,100000000000000
6,[4 4 7 0],43064.543343750025,203,69,100000000000000
7,[ 6  4 10  0],43331.89125000001,358,52,100000000000000
8,[  6   4 123   0],43434.33600000002,359,43,100000000000000
9,[  3   3 163   0],43088.987093750016,354,48,100000000000000
10,[  7   4 233   0],43417.99384375002,178,51,100000000000000
11,[  6   4 230   0],43119.63393750002,240,46,100000000000000
12,[  2   4 190   0],43146.55993750002,390,36,100000000000000
13,[ 6  4 80  0],43408.70875000002,359,51,100000000000000
14,[  4   4 232   0],43058.21528125002,316,71,100000000000000
15,[  2   3 235   0],43386.99125000002,355,64,100000000000000
16,[  5   4 118   0],43116.264000000025,287,54,100000000000000
17,[  5   3 104   0],43079.41203125003,335,41,100000000000000
18,[  5   4 232   0],43284.02240625001,322,59,100000000000000
19,[ 2  4 17  0],43204.76125000002,226,54,100000000000000
20,[ 5  4 30  0],43250.271093750016,317,46,100000000000000
21,[ 7  4 11  0],43259.45281250002,193,57,100000000000000
22,[ 5  4 88  0],43397.180343750006,207,45,100000000000000
23,[  5   4 190   0],43192.09315625001,312,44,100000000000000
24,[  5   3 130   0],43171.75871875001,328,44,100000000000000
25,[  1   4 205   0],43252.170000000006,326,50,100000000000000
26,[ 6  4 43  0],43056.179375000014,286,40,100000000000000
27,[  7   4 174   0],43164.51359375001,364,42,100000000000000
28,[4 4 7 0],43235.7164375,246,47,100000000000000
29,[  4   4 137   0],43106.39575000001,315,61,100000000000000
30,[  4   4 231   0],43303.95700000001,384,48,100000000000000
31,[  4   3 233   0],43272.52678125002,191,54,100000000000000
32,[  6   4 148   0],43271.57040625002,250,66,100000000000000
33,[ 5  4 76  0],43222.87353125001,391,43,100000000000000
34,[4 4 8 0],43260.24090625002,255,70,100000000000000
35,[  5   4 187   0],43436.785875,257,41,100000000000000
36,[ 7  4 88  0],43410.461656250016,188,59,100000000000000
37,[  6   2 186   0],43255.225437500034,356,72,100000000000000
38,[  1   2 157   0],43283.71821875002,267,68,100000000000000
39,[ 7  4 53  0],43301.654937500025,379,48,100000000000000
40,[ 5  4 30  0],43185.92625000002,274,47,100000000000000
41,[  7   4 233   0],43139.36865625001,273,48,100000000000000
42,[  4   4 232   0],43025.446781250015,332,52,100000000000000
43,[  3   4 234   0],43228.01400000002,386,43,100000000000000
44,[  5   2 233   0],43110.683125000025,197,46,100000000000000
45,[  7   4 147   0],43459.776812500015,318,44,100000000000000
46,[ 3  4 98  0],43303.14446875001,304,41,100000000000000
47,[  7   4 134   0],43412.695406250015,237,43,100000000000000
48,[ 2  4 41  0],43251.268875000016,263,64,100000000000000
49,[  6   3 233   0],43111.13228125001,248,47,100000000000000
50,[ 3  4 75  0],43050.85575000003,338,45,100000000000000
51,[5 4 9 0],43218.49259375001,319,53,100000000000000
52,[ 4  3 82  0],43417.812625000006,228,54,100000000000000
53,[ 6  4 10  0],43418.24900000001,311,56,100000000000000
54,[5 4 9 0],43077.55621875002,304,57,100000000000000
55,[ 7  4 71  0],43222.31934375001,325,38,100000000000000
56,[ 6  3 28  0],43308.95456250001,176,57,100000000000000
57,[  2   4 161   0],43240.544031250036,301,43,100000000000000
58,[  5   3 193   0],43086.045718750014,230,45,100000000000000
59,[  7   4 229   0],43289.60996875,247,52,100000000000000
60,[  6   4 172   0],43433.30628125002,335,53,100000000000000
61,[5 4 9 0],43216.91181250002,271,46,100000000000000
62,[  4   4 111   0],43019.59406250002,272,47,100000000000000
63,[ 6  4 41  0],43234.522218750026,307,57,100000000000000
64,[  1   4 212   0],43146.31525000001,220,51,100000000000000
65,[  2   4 151   0],43386.06971875001,309,48,100000000000000
66,[ 6  4 95  0],43273.060187500014,376,72,100000000000000
67,[  3   4 233   0],43313.203937499995,323,50,100000000000000
68,[ 3  4 53  0],43285.33056250002,277,61,100000000000000
69,[ 2  4 74  0],43260.57312500002,195,59,100000000000000
70,[ 6  4 11  0],43256.696875000016,394,42,100000000000000
71,[  2   4 186   0],43272.06862500001,363,50,100000000000000
72,[ 3  4 59  0],43417.233781250005,245,50,100000000000000
73,[  4   4 188   0],43420.88703125,272,50,100000000000000
74,[  7   4 211   0],43412.72084375002,346,36,100000000000000
75,[4 4 8 0],43107.432000000015,190,43,100000000000000
76,[  3   3 220   0],43435.21465625002,388,39,100000000000000
77,[  5   3 231   0],43233.19387500002,212,65,100000000000000
78,[  3   3 234   0],43423.90796875001,305,57,100000000000000
79,[  4   4 232   0],43271.58934375,254,71,100000000000000
80,[ 6  4 59  0],43052.04559375004,267,50,100000000000000
81,[ 6  4 26  0],43055.34809375002,359,58,100000000000000
82,[ 5  4 71  0],43076.279406250025,289,43,100000000000000
83,[  1   4 190   0],43263.95346875001,328,35,100000000000000
84,[  3   3 234   0],43223.78362500001,240,53,100000000000000
85,[ 7  3 10  0],43297.94200000002,348,49,100000000000000
86,[  1   4 237   0],43291.79887500002,399,40,100000000000000
87,[  6   3 171   0],43277.7478125,202,33,100000000000000
88,[  4   4 204   0],43430.820281250024,380,43,100000000000000
89,[  2   3 232   0],43078.15250000002,383,51,100000000000000
90,[4 3 7 0],43285.00996875002,224,53,100000000000000
91,[  6   4 106   0],43152.52325000002,273,57,100000000000000
92,[  3   4 159   0],43251.122968750016,197,47,100000000000000
93,[6 3 9 0],43240.10518750002,372,56,100000000000000
94,[ 5  4 52  0],43044.92759375003,311,48,100000000000000
95,[  2   4 232   0],43145.91550000002,317,43,100000000000000
96,[  3   3 234   0],43242.998250000026,293,54,100000000000000
97,[  6   4 202   0],43246.51837500002,346,62,100000000000000
98,[  1   4 235   0],43239.78790625002,329,39,100000000000000
99,[ 4  4 52  0],43241.58537500002,226,63,100000000000000
100,[  5   2 233   1],43240.57512500003,402,66,100000000000000
101,[  6   4 203   1],43316.323375000036,373,41,100000000000000
102,[  5   1 178   1],43238.42356250002,347,67,100000000000000
103,[  4   4 215   1],43305.554031250016,383,50,100000000000000
104,[ 4  8 14  0],43314.02165625002,182,46,100000000000000
105,[  4   9 226   0],43316.824156250004,394,42,100000000000000
106,[ 4  6 33  0],43263.34984375002,201,50,100000000000000
107,[  5   4 160   0],43424.92846875001,329,39,100000000000000
108,[  5   1 102   0],43399.24446875002,271,55,100000000000000
109,[  2   6 170   1],43043.23159375002,336,56,100000000000000
110,[ 3  3 20  0],43418.84487500002,187,50,100000000000000
111,[  6   7 165   1],43081.43371875001,335,52,100000000000000
112,[  4   7 126   0],43254.037500000006,294,37,100000000000000
113,[  3   9 126   1],43192.23228125002,293,53,100000000000000
114,[  5   7 118   0],43244.45140625002,287,47,100000000000000
115,[  5   5 201   0],43223.04393750002,370,51,100000000000000
116,[ 4  1 97  0],43391.874343750016,265,43,100000000000000
117,[  5   2 132   0],43378.378250000016,301,47,100000000000000
118,[ 3  4 75  1],43305.105968750024,242,57,100000000000000
119,[ 3  5 62  1],43028.493656250015,229,57,100000000000000
120,[  7   2 149   0],43405.27640625001,320,55,100000000000000
121,[  5   6 109   0],43252.903312500006,278,60,100000000000000
122,[  6   8 225   0],43270.77256250001,395,45,100000000000000
123,[  7   1 185   0],43397.17178125002,356,57,100000000000000
124,[ 6  9 15  1],43138.68650000002,185,52,100000000000000
125,[  7   5 214   1],43022.91415625002,385,59,100000000000000
126,[  7   3 130   1],43258.55512500002,301,51,100000000000000
127,[  6   1 194   0],43406.95068750001,364,44,100000000000000
128,[  4   2 185   0],43407.237531250015,353,59,100000000000000
129,[  4   6 167   0],43296.35121875002,335,47,100000000000000
130,[  7   4 229   1],43305.64675000003,400,53,100000000000000
131,[ 4  7 23  0],43262.852812500016,191,39,100000000000000
132,[  4   3 229   1],43263.81503125002,397,59,100000000000000
133,[  7   5 158   1],43075.50028125002,329,58,100000000000000
134,[  3   4 160   0],43434.9094375,327,47,100000000000000
135,[  6   1 135   1],43236.135093750025,305,53,100000000000000
136,[ 6  5 17  1],43025.40053125003,187,44,100000000000000
137,[  5   1 103   1],43235.99746875002,272,56,100000000000000
138,[  7   4 152   1],43275.832562500014,323,62,100000000000000
139,[ 6  8 14  1],43120.92143750002,184,58,100000000000000
140,[  6   9 162   1],43168.20409375001,332,56,100000000000000
141,[  3   5 230   1],43060.07128125001,397,49,100000000000000
142,[ 5  9 38  1],43140.4316875,207,52,100000000000000
143,[ 5  5 10  1],43027.703906250026,179,53,100000000000000
144,[ 6  2 28  1],43230.925031250015,198,72,100000000000000
145,[  7   5 166   1],43035.60281250002,337,49,100000000000000
146,[  3   5 134   1],43031.19375000002,301,54,100000000000000
147,[  5   3 198   0],43414.3075,367,66,100000000000000
148,[ 7  3 53  0],43410.23803125,224,50,100000000000000
149,[  6   5 180   1],43019.612062500004,350,53,100000000000000
150,[  2   5 125   1],43043.67112500002,291,54,100000000000000
151,[ 2  1 13  0],43388.180437500014,179,54,100000000000000
152,[ 1  2 46  0],43367.9130625,211,53,100000000000000
153,[  3   6 174   1],43057.70881250003,341,35,100000000000000
154,[  7   5 158   1],43029.63131250002,329,48,100000000000000
155,[  2   3 139   1],43286.589156250026,305,56,100000000000000
156,[3 7 8 1],43080.08228125001,175,40,100000000000000
157,[  6   6 225   1],43071.03737500003,395,69,100000000000000
158,[  5   3 193   0],43463.245718750004,362,44,100000000000000
159,[  7   8 179   0],43239.33006250001,350,43,100000000000000
160,[  6   3 174   1],43260.71265625002,344,64,100000000000000
161,[  5   4 198   0],43422.407843750014,367,55,100000000000000
162,[  3   1 131   1],43234.68528125002,298,56,100000000000000
163,[  3   5 135   0],43214.58943750001,302,53,100000000000000
164,[  4   6 191   0],43248.44284375001,359,43,100000000000000
165,[  6   8 107   1],43110.70515625002,277,47,100000000000000
166,[  4   1 156   1],43241.74190625004,324,46,100000000000000
167,[ 6  9 12  0],43336.1264375,182,63,100000000000000
168,[  3   1 213   0],43397.14025000001,380,49,100000000000000
169,[  4   7 229   1],43121.14025000001,397,44,100000000000000
170,[  7   8 223   0],43289.369218750006,394,46,100000000000000
171,[  3   7 192   0],43304.03659375001,359,42,100000000000000
172,[ 3  3 23  0],43414.235218750015,190,67,100000000000000
173,[  5   6 133   1],43057.97543750002,302,60,100000000000000
174,[  7   3 176   1],43244.568500000016,347,51,100000000000000
175,[  1   8 237   1],43150.07446875001,402,40,100000000000000
