,pop,energy,duration,lost,dead
0,[4 4 8 0],43928.059362500004,258,60,100000000000000
1,[  6   4 121   0],43911.419534375,358,35,100000000000000
2,[6 4 9 0],43921.593496875,344,44,100000000000000
3,[  7   4 229   0],43930.211018750015,247,56,100000000000000
4,[  6   4 189   0],43945.5759,328,40,100000000000000
5,[ 5  4 10  0],43945.26786249999,243,53,100000000000000
6,[ 4  4 27  0],43911.343971874994,389,57,100000000000000
7,[  7   4 149   0],43905.66792187501,386,39,100000000000000
8,[  7   3 206   0],43931.85671875001,350,57,100000000000000
9,[  4   4 180   0],43927.955509375,388,50,100000000000000
10,[ 6  4 10  0],43943.45286874999,274,57,100000000000000
11,[ 5  4 64  0],43942.52276562499,397,58,100000000000000
12,[  4   3 173   0],43934.59417499999,351,38,100000000000000
13,[  5   3 181   0],43942.83459687501,244,57,100000000000000
14,[ 4  4 15  0],43908.3933625,300,59,100000000000000
15,[  5   3 170   0],43905.57358437499,372,52,100000000000000
16,[  4   4 156   0],43912.60254687501,368,54,100000000000000
17,[5 4 9 0],43946.33183125,380,55,100000000000000
18,[5 3 8 0],43915.10783437501,394,48,100000000000000
19,[ 6  4 10  0],43929.53872812501,192,52,100000000000000
20,[ 5  4 40  0],43915.00198125,244,55,100000000000000
21,[  4   4 127   0],43936.368390625,360,43,100000000000000
22,[  7   4 207   0],43929.10660312501,224,57,100000000000000
23,[  5   4 206   0],43948.406446875,390,60,100000000000000
24,[4 4 8 0],43909.038921875,279,45,100000000000000
25,[5 4 9 0],43945.488968749996,339,45,100000000000000
26,[ 5  4 41  0],43933.66373437498,212,36,100000000000000
27,[ 7  4 17  0],43928.27419687499,292,57,100000000000000
28,[ 5  4 54  0],43927.121912500006,282,57,100000000000000
29,[ 6  3 10  0],43929.169396875004,297,53,100000000000000
30,[  7   4 199   0],43942.51156562498,236,47,100000000000000
31,[  7   4 232   0],43931.71639375,227,39,100000000000000
32,[  4   4 117   0],43932.082418750004,214,56,100000000000000
33,[  4   4 232   0],43917.102003124994,262,51,100000000000000
34,[ 6  4 10  0],43946.52533749999,187,38,100000000000000
35,[  4   4 232   0],43950.80976875,338,45,100000000000000
