,pop,energy,duration,lost,dead
0,[ 6  6 12  0],45961.773078437625,145,0,100000000000000
1,[ 6  9 53  0],45939.98468646897,56,0,100000000000000
2,[ 7  8 15  0],45980.49057243756,252,0,100000000000000
3,[ 6  7 13  0],45999.414905843725,51,0,100000000000000
4,[ 7  7 13  0],45999.40300521873,94,0,100000000000000
5,[ 3  6 11  0],45967.89449656261,46,0,100000000000000
6,[  7   8 177   0],45999.399343781224,216,0,100000000000000
7,[  3   6 109   0],45967.897896000104,144,0,100000000000000
8,[3 6 9 0],45961.78785221888,44,0,100000000000000
9,[  7   5 173   0],45999.39577134372,212,0,100000000000000
10,[ 3  9 11  0],45961.79606965638,46,0,100000000000000
11,[  3   5 182   0],45961.794740843885,217,0,100000000000000
12,[ 5  7 53  0],45993.11357468751,90,0,100000000000000
13,[  3   6 109   0],45967.90333800012,144,0,100000000000000
14,[2 5 7 0],45939.98523587523,41,0,100000000000000
15,[ 5  8 11  0],45993.1071343125,48,0,100000000000000
16,[ 6  9 53  0],45999.41929337499,91,0,100000000000000
17,[ 7  8 53  0],45999.408790531226,92,0,100000000000000
18,[ 5  8 21  0],45993.09421256249,58,0,100000000000000
19,[ 7  7 13  0],45999.41334509374,52,0,100000000000000
20,[ 6  6 12  0],45999.41635709372,50,0,100000000000000
21,[ 7  6 13  0],45999.418618499985,52,0,100000000000000
22,[ 7  8 15  0],45999.415312999976,54,0,100000000000000
23,[ 6  9 15  0],45999.395916593734,53,0,100000000000000
24,[ 5  7 51  0],45993.09907275,88,0,100000000000000
25,[ 7  6 13  0],45999.40081484373,52,0,100000000000000
26,[ 6  9 15  0],45999.40315731248,53,0,100000000000000
27,[ 5  8 12  0],45993.087131875,49,0,100000000000000
28,[ 5  8 44  0],45993.112020781264,81,0,100000000000000
29,[ 7  9 16  0],45999.40455346873,55,0,100000000000000
