,pop,energy,duration,lost,dead
0,[  5   4 118   0],43076.17750000002,125,39,100000000000000
1,[  2   3 169   0],43274.78415625002,100,32,100000000000000
2,[  1   3 236   0],43333.274125,206,34,100000000000000
3,[2 3 9 0],43227.24259375003,140,61,100000000000000
4,[  6   4 216   0],43301.011093750014,185,34,100000000000000
5,[ 6  4 68  0],43377.74350000002,85,56,100000000000000
6,[ 4  4 68  0],43292.259281250015,104,37,100000000000000
7,[  1   4 111   0],43378.943406250015,79,31,100000000000000
8,[  4   4 121   0],43278.36271875002,209,42,100000000000000
9,[5 4 9 0],43285.778500000015,169,53,100000000000000
10,[ 6  1 10  0],43150.80787500003,155,40,100000000000000
11,[ 6  4 49  0],43361.263875000004,86,42,100000000000000
12,[  6   1 223   0],43269.476031250015,232,45,100000000000000
13,[  7   4 155   0],43004.249656250024,232,60,100000000000000
14,[  6   4 118   0],43027.81918750002,188,63,100000000000000
15,[ 3  4 20  0],43279.29668750001,95,41,100000000000000
16,[  4   4 214   0],43277.41950000002,182,44,100000000000000
17,[2 4 6 0],43397.64478125001,237,37,100000000000000
18,[ 2  4 61  0],43099.13950000003,237,57,100000000000000
19,[5 3 8 0],43408.63687500002,145,32,100000000000000
20,[  5   4 233   0],43402.790656250014,267,43,100000000000000
21,[  1   4 115   0],43411.42009375001,257,55,100000000000000
22,[  5   4 120   0],43324.34575000002,261,37,100000000000000
23,[ 3  4 95  0],43113.26021875003,115,44,100000000000000
24,[  1   4 216   0],43390.918625000006,215,44,100000000000000
25,[  5   3 174   0],43253.11059375002,263,50,100000000000000
26,[ 7  4 11  0],43277.52834375003,243,52,100000000000000
27,[  3   4 229   0],43396.72653125,49,50,100000000000000
28,[  1   3 174   0],43394.36021875001,114,51,100000000000000
29,[  6   4 112   0],43373.77478125002,49,48,100000000000000
30,[ 5  4 47  0],43312.351312500025,106,32,100000000000000
31,[2 3 5 0],43242.60565625003,55,44,100000000000000
32,[2 3 5 0],43257.21268750002,175,69,100000000000000
33,[  4   4 232   0],43131.87828125003,165,58,100000000000000
34,[  5   4 199   0],43066.92271875004,76,51,100000000000000
35,[5 4 9 0],43276.26490625001,158,50,100000000000000
36,[4 1 5 0],43119.239093750024,145,52,100000000000000
37,[  5   4 195   0],43245.577375000015,106,68,100000000000000
38,[  1   4 235   0],43415.50196875001,169,47,100000000000000
39,[  2   4 172   0],43324.85300000001,62,34,100000000000000
40,[  2   4 206   0],43133.08881250002,249,46,100000000000000
41,[ 5  4 81  0],43334.59909375,63,44,100000000000000
42,[2 4 6 0],43263.23831250001,85,48,100000000000000
43,[  7   3 188   0],43132.82143750002,233,55,100000000000000
44,[ 5  2 85  0],43212.78531250003,187,54,100000000000000
45,[ 5  4 64  0],43271.968937500016,146,40,100000000000000
46,[  3   4 112   0],43410.42762500002,80,39,100000000000000
47,[  5   4 125   0],43412.68618750001,254,58,100000000000000
48,[5 3 8 0],43103.621812500016,261,45,100000000000000
49,[4 4 8 0],43299.180187500024,106,49,100000000000000
50,[  5   2 233   0],43118.58625000002,176,36,100000000000000
