,pop,energy,duration,lost,dead
0,[  5   4 142   0],43403.44756250001,55,40,100000000000000
1,[ 5  4 55  0],43236.04581250002,199,49,100000000000000
2,[ 6  3 93  0],43103.72946875002,238,43,100000000000000
3,[ 7  4 11  0],43406.57803125002,248,49,100000000000000
4,[  6   4 230   0],43155.71781250002,96,50,100000000000000
5,[3 3 6 0],43366.652718750025,246,42,100000000000000
6,[ 6  4 45  0],43413.33337500002,180,57,100000000000000
7,[  7   4 174   0],43227.40737500001,140,40,100000000000000
8,[ 5  4 92  0],43174.67337500002,59,66,100000000000000
9,[  2   4 147   0],43298.69131250001,166,38,100000000000000
10,[  7   4 104   0],43386.918968750026,152,45,100000000000000
11,[  4   4 234   0],43405.28231250001,173,56,100000000000000
12,[  4   4 197   0],43326.62921875001,89,35,100000000000000
13,[ 7  4 85  0],43398.51196875002,239,38,100000000000000
14,[ 4  4 55  0],43211.827500000014,212,34,100000000000000
15,[  2   4 234   0],43019.66393750001,230,51,100000000000000
16,[ 4  3 12  0],43231.17462500001,110,38,100000000000000
17,[3 4 5 0],43399.39850000002,153,45,100000000000000
18,[ 7  4 32  0],43096.871312500014,259,50,100000000000000
19,[  6   4 174   0],43066.87256250002,262,52,100000000000000
20,[  7   2 207   0],43234.65493750001,241,47,100000000000000
21,[ 5  4 57  0],43161.94628125001,172,45,100000000000000
22,[ 6  4 95  0],43383.85975,107,58,100000000000000
23,[ 6  4 30  0],43129.511781250025,169,44,100000000000000
24,[  7   4 125   0],43229.005187500035,218,56,100000000000000
25,[ 6  4 10  0],43391.49559375002,111,44,100000000000000
26,[ 6  4 10  0],43413.59840625003,153,50,100000000000000
27,[  7   4 229   0],43353.83190625002,94,50,100000000000000
28,[  6   4 116   0],43281.791437500025,144,61,100000000000000
29,[ 7  4 54  0],43242.94443750002,201,51,100000000000000
30,[  6   3 176   0],43054.10559375003,215,51,100000000000000
31,[3 4 7 0],43220.95362500003,49,53,100000000000000
32,[  7   4 190   0],43411.83493750001,77,48,100000000000000
33,[ 6  4 20  0],43411.83340625001,118,48,100000000000000
34,[ 5  4 26  0],43045.09334375003,74,49,100000000000000
35,[  7   4 157   0],43297.19296875001,89,41,100000000000000
36,[  6   4 230   0],43281.37784375002,160,71,100000000000000
37,[  5   4 201   0],43097.92881250001,162,65,100000000000000
38,[ 7  4 10  0],43412.66228125002,119,51,100000000000000
39,[  1   3 203   0],43382.09250000003,80,44,100000000000000
40,[ 1  3 49  0],43239.46950000002,116,42,100000000000000
41,[  5   4 199   0],43285.757593750015,128,52,100000000000000
42,[  7   4 211   0],43384.62909375001,111,57,100000000000000
43,[ 6  4 29  0],43412.04290625001,259,39,100000000000000
44,[  5   4 158   0],43229.498218750035,54,42,100000000000000
45,[4 4 9 0],43028.153031250025,149,50,100000000000000
46,[  5   4 231   0],43381.57684375001,183,46,100000000000000
47,[ 6  3 62  0],43090.04031250002,96,49,100000000000000
48,[  2   4 202   0],43389.33415625001,151,47,100000000000000
49,[5 4 9 0],43287.15400000001,253,34,100000000000000
50,[ 4  3 23  0],43432.88934375001,59,39,100000000000000
51,[ 4  4 36  0],43159.13306250003,60,50,100000000000000
52,[ 3  4 65  0],43309.34653125001,242,34,100000000000000
53,[  6   4 230   0],43240.10946875002,149,62,100000000000000
54,[  7   4 131   0],43268.35065625003,183,54,100000000000000
55,[  7   4 133   0],43035.24584375002,122,52,100000000000000
56,[ 3  4 26  0],43055.362531250015,229,55,100000000000000
57,[ 7  4 11  0],43065.55003125002,219,61,100000000000000
58,[ 6  4 48  0],43206.52378125001,54,45,100000000000000
59,[ 4  4 11  0],43356.917500000025,238,60,100000000000000
60,[ 6  4 31  0],43166.34412500001,194,60,100000000000000
61,[ 5  4 89  0],43439.51081250001,126,52,100000000000000
62,[ 6  4 96  0],43430.45940625002,51,43,100000000000000
63,[ 7  4 11  0],43411.603562500015,92,40,100000000000000
64,[1 4 5 0],43325.896687500026,93,37,100000000000000
65,[  1   3 209   0],43277.76128125003,254,53,100000000000000
66,[ 7  1 10  0],43432.423343750015,49,48,100000000000000
67,[  6   4 102   0],43300.28256250002,128,42,100000000000000
68,[  5   4 196   0],43180.51896875002,68,58,100000000000000
69,[5 4 9 0],43232.17546875002,138,53,100000000000000
70,[  5   4 160   0],43278.81293750001,52,46,100000000000000
71,[6 3 9 0],43136.54806250002,212,49,100000000000000
72,[  7   3 230   0],43241.44034375,49,46,100000000000000
73,[ 6  4 10  0],43256.63078125003,47,59,100000000000000
74,[  5   4 187   0],43278.71421875002,167,62,100000000000000
75,[3 4 7 0],43384.06156250002,207,60,100000000000000
76,[5 4 9 0],43262.08193750003,92,46,100000000000000
77,[  5   3 233   0],43353.449875000035,200,38,100000000000000
