,t1,t2,t3,t4,energy,old duration,lost,dead,duration
0,1,4,5,1,65975.44470165635,15022,0,100000000000000,10
1,1,5,8796,1,65977.09845165633,23813,0,100000000000000,8802
2,1,5,4518,1,65977.43244912509,19535,0,100000000000000,4524
3,1,7,14420,1,65978.71349981258,29437,0,100000000000000,14428
4,1,7,7940,1,65979.59219709382,22957,0,100000000000000,7948
5,1,9,13098,1,65980.82734056258,28115,0,100000000000000,13108
6,1,9,2211,1,65980.82734056258,17228,0,100000000000000,2221
7,6,9,14564,0,65980.92266309384,28092,0,100000000000000,14579
8,5,9,11293,0,65981.15728690634,19236,0,100000000000000,11307
9,6,9,15609,0,65983.83934293756,28605,0,100000000000000,15624
10,7,9,15609,0,65984.37046506256,24304,0,100000000000000,15625
11,2,5,12321,0,65984.82933306256,27339,0,100000000000000,12328
12,2,7,12846,1,65985.01622625004,27864,0,100000000000000,12855
13,7,9,15609,0,65985.1999785313,19923,0,100000000000000,15625
14,7,9,6509,0,65985.56843631256,25640,0,100000000000000,6525
15,3,1,14374,1,65985.61995871883,29393,0,100000000000000,14378
16,6,9,8718,0,65985.75988171881,16644,0,100000000000000,8733
17,6,9,8330,0,65986.34757850003,16791,0,100000000000000,8345
18,2,8,13,1,65986.43803556255,15031,0,100000000000000,23
19,7,9,10095,0,65986.85088646879,27018,0,100000000000000,10111
20,2,6,6013,0,65987.01153268755,21031,0,100000000000000,6021
21,2,8,15617,1,65987.20381650004,30635,0,100000000000000,15627
22,2,8,13074,1,65987.20386018754,28092,0,100000000000000,13084
23,6,9,12153,0,65987.31951553129,25683,0,100000000000000,12168
24,2,9,12482,1,65988.20566493754,27500,0,100000000000000,12493
25,3,3,2176,1,65989.7487300313,17195,0,100000000000000,2182
26,3,5,10263,1,65990.23859225004,25282,0,100000000000000,10271
27,3,8,7187,1,65990.97040690629,22206,0,100000000000000,7198
28,6,9,4435,0,65991.08291031253,24360,0,100000000000000,4450
29,3,6,8332,1,65991.21119468752,23351,0,100000000000000,8341
30,5,2,541,1,65991.3625044688,15562,0,100000000000000,548
31,3,9,3679,1,65991.36554806253,18698,0,100000000000000,3691
32,3,9,7287,0,65991.37892378129,22306,0,100000000000000,7299
33,3,9,15613,0,65991.38253656252,30632,0,100000000000000,15625
34,5,9,15611,0,65991.45870375003,17742,0,100000000000000,15625
35,3,7,10128,0,65991.54207253129,25147,0,100000000000000,10138
36,3,9,5206,0,65992.01415275002,20225,0,100000000000000,5218
37,3,6,810,1,65992.21191806253,15829,0,100000000000000,819
38,3,9,7125,0,65992.22435809378,22144,0,100000000000000,7137
39,3,6,7914,1,65992.34425662503,22933,0,100000000000000,7923
40,5,1,15619,0,65992.54861575001,30640,0,100000000000000,15625
41,7,9,15609,0,65992.55426993754,30405,0,100000000000000,15625
42,3,8,7473,1,65992.55448437502,22492,0,100000000000000,7484
43,4,2,11340,0,65992.61001987504,26360,0,100000000000000,11346
44,6,9,7041,0,65992.72694746878,18129,0,100000000000000,7056
45,3,9,10519,0,65992.85819746878,25538,0,100000000000000,10531
46,3,9,6874,0,65992.85819746878,21893,0,100000000000000,6886
47,3,9,10265,0,65992.85843506253,25284,0,100000000000000,10277
48,3,9,15192,0,65992.85936278128,30211,0,100000000000000,15204
49,3,9,15611,0,65992.85977153128,30630,0,100000000000000,15623
50,5,9,14,0,65992.86047378129,17655,0,100000000000000,28
51,3,9,533,0,65992.86204784378,15552,0,100000000000000,545
52,3,9,13961,0,65992.86319984376,28980,0,100000000000000,13973
53,5,1,9086,0,65992.98386481253,24107,0,100000000000000,9092
54,3,9,6513,0,65993.06955481252,21532,0,100000000000000,6525
55,3,9,1853,0,65993.07183112501,16872,0,100000000000000,1865
56,4,2,3478,1,65993.12316959379,18498,0,100000000000000,3484
57,7,1,9286,0,65993.20038728126,24309,0,100000000000000,9294
58,3,7,13940,1,65993.42506418753,28959,0,100000000000000,13950
59,3,9,15611,0,65993.70363178127,30630,0,100000000000000,15623
60,3,9,12,0,65993.70363178127,15031,0,100000000000000,24
61,3,9,6884,0,65993.70363178127,21903,0,100000000000000,6896
62,3,9,12,0,65993.70364509377,15031,0,100000000000000,24
63,3,9,9291,0,65993.70478378129,24310,0,100000000000000,9303
64,3,9,4526,0,65993.70478378129,19545,0,100000000000000,4538
65,6,4,8581,1,65993.72500675001,23603,0,100000000000000,8591
66,7,9,11295,0,65993.86979937501,29302,0,100000000000000,11311
67,5,2,8423,0,65994.03174590626,23444,0,100000000000000,8430
68,7,2,9305,0,65994.09199496875,24328,0,100000000000000,9314
69,5,2,14380,0,65994.25265753128,29401,0,100000000000000,14387
70,7,2,11530,0,65994.29797118752,26553,0,100000000000000,11539
71,5,3,7119,1,65994.59767765627,22140,0,100000000000000,7127
72,5,3,15617,0,65994.92695834376,30638,0,100000000000000,15625
73,4,3,7129,1,65994.93420778128,22149,0,100000000000000,7136
74,7,5,13217,0,65995.02870375001,28240,0,100000000000000,13229
75,7,3,8328,0,65995.14193600001,23351,0,100000000000000,8338
76,7,9,1014,0,65995.297173375,21063,0,100000000000000,1030
77,5,3,4476,0,65995.43069056251,19497,0,100000000000000,4484
78,6,3,15295,0,65995.48665809378,30317,0,100000000000000,15304
79,6,6,6452,1,65995.87749990627,21474,0,100000000000000,6464
80,5,6,15614,1,65996.00874990626,30635,0,100000000000000,15625
81,6,4,9455,0,65996.13699434377,24477,0,100000000000000,9465
82,4,7,11,1,65996.18909171878,15031,0,100000000000000,22
