,pop,energy,duration,lost,dead
0,[   6    9 6254    0],65141.429653565094,5733,1751,100000000000000
1,[   7    9 6342    0],65730.9455509379,50,1750,100000000000000
2,[  7   9 484   0],65905.19721071802,5302,1752,100000000000000
3,[    6     9 11207     0],65685.79814753181,12655,1752,100000000000000
4,[   7    9 6220    0],65853.78746731202,11945,1757,100000000000000
5,[    7     9 10123     0],65766.15044603143,15564,1753,100000000000000
6,[   6    9 3214    0],65148.82632025259,6311,1753,100000000000000
7,[    6     9 11177     0],65748.12796759365,10275,1753,100000000000000
8,[   6    9 8032    0],64888.88212734729,2923,1755,100000000000000
9,[   6    9 2788    0],64615.811226754784,14145,1754,100000000000000
10,[   6    9 7143    0],65978.50099596812,7688,1757,100000000000000
11,[   6    9 9774    0],65153.04146569011,6534,1751,100000000000000
12,[   6    9 2275    0],65978.51731243684,2395,1755,100000000000000
13,[    6     9 12449     0],65675.51949434448,650,1751,100000000000000
14,[   6    9 8311    0],65756.30435646897,1728,1754,100000000000000
15,[    6     9 14688     0],64605.47939834861,7007,1755,100000000000000
16,[    7     9 13520     0],65081.81415487788,1493,1751,100000000000000
17,[   7    9 4065    0],65914.93411959299,1736,1750,100000000000000
18,[   7    9 1358    0],65137.54514937757,11349,1755,100000000000000
19,[   7    9 3409    0],65150.75178559632,3484,1753,100000000000000
20,[    7     9 10288     0],65901.99735009298,5230,1751,100000000000000
21,[   6    9 9306    0],65748.79208468742,8376,1752,100000000000000
22,[   7    9 9882    0],65784.979172969,12748,1756,100000000000000
23,[   6    9 3354    0],64960.29155472208,3353,1748,100000000000000
24,[   6    9 5986    0],65978.22114156176,10084,1758,100000000000000
25,[    6     9 10562     0],65147.32249581503,13979,1759,100000000000000
26,[    6     9 11847     0],65978.11941084312,2240,1752,100000000000000
27,[   6    9 9465    0],65763.21123206228,5918,1754,100000000000000
28,[    6     9 10853     0],65729.54205018799,12037,1753,100000000000000
29,[   7    9 9139    0],65977.32399787394,5501,1758,100000000000000
30,[   6    9 7531    0],64613.79014641099,816,1750,100000000000000
31,[   6    9 5226    0],65912.10499053042,15584,1754,100000000000000
32,[    6     9 14486     0],65750.78723434405,2580,1752,100000000000000
33,[   6    1 6052    0],65671.22135753186,6074,1755,100000000000000
