,t1,t2,t3,t4,energy,old duration,lost,dead,duration
0,1,4,9807,1,46028.3729429886,9824,0,100000000000000,9812
1,1,9,3719,0,47274.00953238367,3736,17742,100000000000000,3729
2,1,6,5819,0,47308.81876432102,5836,24478,100000000000000,5826
3,6,9,2619,0,49428.098611442336,4440,0,100000000000000,2634
4,7,9,5206,0,49445.52584006727,5103,0,100000000000000,5222
5,2,3,3150,0,50052.76349515538,3168,0,100000000000000,3155
6,2,4,1707,1,50661.93160578095,1725,0,100000000000000,1713
7,7,9,7146,0,51953.8404341474,15607,24263,100000000000000,7162
8,3,1,10359,1,54188.178953483075,10378,0,100000000000000,10363
9,7,9,10125,0,54829.836067761746,5574,0,100000000000000,10141
10,7,9,4307,0,54841.78520929326,2516,0,100000000000000,4323
11,3,2,2643,1,54844.14380098039,2662,0,100000000000000,2648
12,3,3,6369,1,55456.53528263409,6388,0,100000000000000,6375
13,6,9,6835,0,56053.026302756516,14182,0,100000000000000,6850
14,3,4,10767,1,56056.849974444114,10786,0,100000000000000,10774
15,3,4,14093,0,56056.92686075692,14112,0,100000000000000,14100
16,6,9,6466,0,56679.54506659782,13479,27687,100000000000000,6481
17,7,9,5739,0,56682.1045041293,7089,27334,100000000000000,5755
18,7,9,9889,0,57292.91328275191,11101,19275,100000000000000,9905
19,3,6,2736,1,57296.92875325155,2755,24200,100000000000000,2745
20,7,9,4363,0,57297.42951912693,12832,21250,100000000000000,4379
21,6,9,1519,0,57297.680120564335,9225,21540,100000000000000,1534
22,3,9,2391,0,57307.08507415814,2410,17691,100000000000000,2403
23,3,6,1698,0,57309.14830893937,1717,24307,100000000000000,1707
24,7,9,4846,0,57315.340099814304,2632,21459,100000000000000,4862
25,4,1,9924,0,60385.57690767958,9944,0,100000000000000,9929
26,4,2,2661,1,60988.51574679485,2681,0,100000000000000,2667
27,7,9,7492,0,60993.320257794825,12906,0,100000000000000,7508
28,7,9,4205,0,61630.19868614328,12902,0,100000000000000,4221
29,5,1,11524,1,61917.344379259775,11545,0,100000000000000,11530
30,4,4,5980,1,62230.072433102316,6000,0,100000000000000,5988
31,7,9,7556,0,62235.90550107818,8774,0,100000000000000,7572
32,5,2,8951,1,62545.74122294488,8972,0,100000000000000,8958
