,pop,energy,duration,lost,dead
0,[   7    9 9635    0],45983.962593187556,23276,0,100000000000000
1,[   7    9 6578    0],45989.73947325004,21953,0,100000000000000
2,[    7     9 10635     0],45991.38918578128,23004,0,100000000000000
3,[    7     8 14363     0],45989.22594793754,23936,0,100000000000000
4,[   7    8 5146    0],45988.28915100004,22770,0,100000000000000
5,[ 7  9 16  0],45989.63107768754,29242,0,100000000000000
6,[   7    9 4900    0],45992.88203090627,17098,0,100000000000000
7,[    7     8 10121     0],45994.249801593774,15482,0,100000000000000
8,[   7    9 5111    0],45996.341519593756,30104,0,100000000000000
9,[    7     9 15442     0],45984.09753231257,20451,0,100000000000000
10,[ 7  9 16  0],45990.55356350003,21869,0,100000000000000
11,[    7     9 11361     0],45994.64300303126,30034,0,100000000000000
12,[   7    8 4977    0],45993.69450237502,30579,0,100000000000000
13,[    7     7 14801     0],45978.618054593826,29689,0,100000000000000
14,[   7    9 4724    0],45987.706522750035,17554,0,100000000000000
15,[ 7  9 16  0],45991.37215393753,24166,0,100000000000000
16,[    7     9 15609     0],45996.07727025,17791,0,100000000000000
17,[    7     9 14179     0],45987.805486906276,24138,0,100000000000000
18,[ 7  9 16  0],45986.30620478129,28318,0,100000000000000
19,[    7     9 15609     0],45990.22630562503,16631,0,100000000000000
20,[   7    9 9698    0],45994.712436781265,24504,0,100000000000000
21,[   7    9 1804    0],45990.88533612502,15879,0,100000000000000
22,[    7     9 15609     0],45995.09846087502,21377,0,100000000000000
23,[    7     9 12099     0],45999.70938728125,19845,0,100000000000000
24,[   7    9 6181    0],45989.37368121879,22186,0,100000000000000
25,[   7    9 8482    0],45996.18310815627,29150,0,100000000000000
26,[    7     9 10072     0],45986.208139031296,25588,0,100000000000000
27,[    7     9 15609     0],45984.906274250054,25642,0,100000000000000
28,[    7     9 12013     0],45989.71267506254,21543,0,100000000000000
29,[    7     9 15609     0],45992.25892962502,17284,0,100000000000000
30,[   7    9 1446    0],45981.62280953131,27818,0,100000000000000
31,[    7     9 15609     0],45986.72242893755,19803,0,100000000000000
32,[    7     9 11556     0],45989.54509140628,28372,0,100000000000000
33,[ 7  9 16  0],45997.80086071875,24626,0,100000000000000
34,[   7    8 3852    0],45994.71470468752,17364,0,100000000000000
35,[    7     9 15609     0],45990.55543343752,15242,0,100000000000000
36,[ 7  9 16  0],45991.703513843786,16347,0,100000000000000
37,[    7     9 10003     0],45983.31421312506,18511,0,100000000000000
38,[    7     9 15609     0],45979.85204184381,23912,0,100000000000000
39,[    7     9 12328     0],45993.70353315627,25108,0,100000000000000
40,[    7     9 15609     0],45986.274020687546,29440,0,100000000000000
41,[   7    8 1956    0],45996.10501443751,20242,0,100000000000000
