,t1,t2,t3,t4,energy,old duration,lost,dead,duration
0,1,1,13374,0,45973.3378789376,28391,0,100000000000000,13376
1,1,6,7,0,45975.96368356258,15024,0,100000000000000,14
2,1,4,13683,0,45976.950601468845,28700,0,100000000000000,13688
3,1,5,10124,0,45977.388558468825,25141,0,100000000000000,10130
4,2,1,9110,0,45977.77602006258,24128,0,100000000000000,9113
5,1,5,14419,1,45977.96384828134,29436,0,100000000000000,14425
6,2,3,4553,0,45978.110099062586,19571,0,100000000000000,4558
7,2,1,3,0,45978.33271050008,15021,0,100000000000000,6
8,2,5,7,1,45978.34555962507,15025,0,100000000000000,14
9,7,7,14801,0,45978.618054593826,29689,0,100000000000000,14815
10,2,3,1365,0,45978.87743615634,16383,0,100000000000000,1370
11,5,1,5409,0,45979.69817543757,20430,0,100000000000000,5415
12,7,9,15609,0,45979.852041843806,23912,0,100000000000000,15625
13,3,3,8242,1,45980.01719356258,23261,0,100000000000000,8248
14,1,6,15618,1,45980.42701353132,30635,0,100000000000000,15625
15,3,3,6,1,45980.47238081258,15025,0,100000000000000,12
16,7,9,14306,0,45980.67356900007,19939,0,100000000000000,14322
17,7,9,5957,0,45980.758296968816,30430,0,100000000000000,5973
18,2,6,2782,1,45980.83653453132,17800,0,100000000000000,2790
19,7,9,9152,0,45980.850295406315,15356,0,100000000000000,9168
20,4,2,8242,0,45981.29791490632,23262,0,100000000000000,8248
21,7,9,8438,0,45981.375094312556,17608,0,100000000000000,8454
22,1,7,8,1,45981.39261059381,15025,0,100000000000000,16
23,4,7,8787,1,45981.514616875065,23807,0,100000000000000,8798
24,4,3,6473,1,45981.519450093816,21493,0,100000000000000,6480
25,7,9,1446,0,45981.622809531305,27818,0,100000000000000,1462
26,3,2,11366,1,45981.64471300008,26385,0,100000000000000,11371
27,1,8,15621,1,45981.73034518757,30638,0,100000000000000,15630
28,4,2,7534,1,45981.768401718815,22554,0,100000000000000,7540
29,2,5,13131,0,45982.05515562505,28149,0,100000000000000,13138
30,2,7,3805,1,45982.18554262506,18823,0,100000000000000,3814
31,2,6,8,1,45982.465442781286,15026,0,100000000000000,16
32,2,7,10250,0,45982.565827781305,25268,0,100000000000000,10259
33,2,5,9255,0,45982.73813431257,24273,0,100000000000000,9262
34,3,2,13033,0,45982.86202993757,28052,0,100000000000000,13038
35,7,1,11561,0,45982.923534781316,26584,0,100000000000000,11569
36,7,7,10498,0,45983.02140162506,16492,0,100000000000000,10512
37,6,3,13115,1,45983.077647812555,28137,0,100000000000000,13124
38,7,9,14897,0,45983.142142062556,15129,0,100000000000000,14913
39,7,7,15611,0,45983.23031012506,21233,0,100000000000000,15625
40,7,9,10003,0,45983.31421312506,18511,0,100000000000000,10019
41,3,4,15618,1,45983.60217678131,30637,0,100000000000000,15625
42,5,2,1612,0,45983.66939121882,16633,0,100000000000000,1619
43,7,9,10752,0,45983.796388250055,25189,0,100000000000000,10768
44,5,3,15617,0,45983.81582718756,30638,0,100000000000000,15625
45,7,9,9635,0,45983.962593187556,23276,0,100000000000000,9651
46,7,8,15,0,45983.97388868756,21365,0,100000000000000,30
47,7,9,16,0,45984.001193125056,24801,0,100000000000000,32
48,3,2,8944,0,45984.03603009381,23963,0,100000000000000,8949
49,7,9,15442,0,45984.09753231257,20451,0,100000000000000,15458
50,2,7,15616,1,45984.14518918756,30634,0,100000000000000,15625
51,3,4,11019,1,45984.20958256255,26038,0,100000000000000,11026
52,6,4,15615,0,45984.46134918756,30637,0,100000000000000,15625
53,3,3,11375,0,45984.53365281255,26394,0,100000000000000,11381
54,2,8,2530,1,45984.8747492813,17548,0,100000000000000,2540
55,7,9,15609,0,45984.90627425005,25642,0,100000000000000,15625
56,5,4,9046,0,45984.91875150005,24067,0,100000000000000,9055
57,7,9,13054,0,45984.9872301563,26715,0,100000000000000,13070
58,4,4,15617,0,45985.0042118438,30637,0,100000000000000,15625
