,pop,energy,duration,lost,dead
0,[ 6  9 15  1],65981.37932475009,26983,0,100000000000000
1,[    7     9 14861     0],65967.73570500013,24232,0,100000000000000
2,[   6    9 2075    1],65977.4380034376,29853,0,100000000000000
3,[ 6  9 15  1],65986.83607918756,18745,0,100000000000000
4,[    7     9 15609     0],65983.09452178134,19560,0,100000000000000
5,[    7     9 15440     0],65967.73035812512,15619,0,100000000000000
6,[    7     9 15609     1],65973.58753000012,17224,0,100000000000000
7,[    7     9 15609     0],65975.2319021251,16671,0,100000000000000
8,[   6    9 1477    1],65969.60844209387,16596,0,100000000000000
9,[ 7  9 16  1],65984.40429043757,28671,0,100000000000000
10,[    6     9 12490     0],65969.38816875013,17709,0,100000000000000
11,[    6     9 15203     1],65978.95073021886,15754,0,100000000000000
12,[    7     9 14861     1],65970.64099909387,21485,0,100000000000000
13,[   7    7 2311    0],65976.4529296251,16132,0,100000000000000
14,[    7     9 15612     0],65980.2057509376,21040,0,100000000000000
15,[    6     9 10662     1],65985.58400112505,26673,0,100000000000000
16,[   6    9 2655    1],65967.07930906264,25902,0,100000000000000
17,[ 6  8 14  1],65979.89260543759,22893,0,100000000000000
18,[   7    9 8670    1],65970.57651484387,16820,0,100000000000000
19,[    7     9 15610     1],65987.1946450938,15614,0,100000000000000
20,[ 6  9 15  1],65972.38890071887,16498,0,100000000000000
21,[    6     8 12632     1],65978.78112487508,27166,0,100000000000000
22,[    7     8 12488     0],65972.05567159384,15813,0,100000000000000
23,[ 7  9 16  1],65977.63789871885,18428,0,100000000000000
24,[   7    9 9887    0],65979.81928659383,22662,0,100000000000000
25,[   7    9 8824    0],65972.39298590635,15487,0,100000000000000
26,[    7     9 15611     1],65981.66495040634,20375,0,100000000000000
27,[ 7  9 16  1],65971.10731012512,28898,0,100000000000000
28,[   7    9 6265    0],65988.87480321882,28723,0,100000000000000
29,[ 6  9 16  1],65981.07012628134,30259,0,100000000000000
30,[    1     2 11962     1],65965.86235284389,26979,0,100000000000000
31,[5 1 6 1],65983.46116787507,15027,0,100000000000000
32,[   6    5 6750    0],65987.7893874688,21772,0,100000000000000
33,[   6    1 5571    0],65982.93783387507,20593,0,100000000000000
34,[   6    1 1040    0],65980.65597928132,16062,0,100000000000000
35,[2 4 6 1],65970.59677321887,15024,0,100000000000000
36,[   5    6 4238    1],65983.18927512509,19259,0,100000000000000
37,[    6     6 15613     0],65986.45365593756,30635,0,100000000000000
38,[   6    4 1578    1],65986.21899296882,16600,0,100000000000000
39,[1 5 6 0],65965.44618803138,15023,0,100000000000000
40,[   3    2 3857    1],65969.70394931264,18876,0,100000000000000
41,[   5    7 3220    1],65987.70455990631,18241,0,100000000000000
42,[    3     3 15619     0],65974.30840784387,30638,0,100000000000000
43,[   4    8 8074    1],65982.79020256257,23094,0,100000000000000
44,[   7    7 4422    1],65984.61288100008,19445,0,100000000000000
45,[   5    4 1339    0],65981.60918403133,16360,0,100000000000000
46,[    6     1 14609     1],65978.20005859384,29631,0,100000000000000
47,[   2    6 5937    1],65973.71122903137,20955,0,100000000000000
48,[2 5 7 1],65970.79992425012,15025,0,100000000000000
49,[1 8 9 0],65966.63792531264,15026,0,100000000000000
50,[   2    6 6684    1],65971.63797446887,21702,0,100000000000000
51,[4 3 7 0],65978.16300528134,15027,0,100000000000000
52,[    3     9 12244     1],65977.98063928135,27263,0,100000000000000
53,[3 2 5 1],65967.65242815638,15024,0,100000000000000
54,[    3     1 15621     1],65968.97292975013,30640,0,100000000000000
55,[   1    6 2134    0],65965.3875553439,17151,0,100000000000000
56,[   3    4 3009    1],65973.95878462512,18028,0,100000000000000
57,[    3     3 15621     0],65974.6499879376,30640,0,100000000000000
58,[   3    9 6446    0],65981.02322609384,21465,0,100000000000000
59,[    5     5 13035     0],65984.73442687509,28056,0,100000000000000
60,[    4     1 15620     0],65975.5848393126,30640,0,100000000000000
61,[3 4 6 1],65971.17307068761,15025,0,100000000000000
62,[ 6  9 51  1],65987.6183935938,15073,0,100000000000000
63,[    3     2 12028     1],65973.32350578136,27047,0,100000000000000
64,[    3     7 11430     1],65976.5488384376,26449,0,100000000000000
65,[    7     4 15614     1],65981.61415387508,30637,0,100000000000000
66,[   4    5 8661    0],65980.34916243759,23681,0,100000000000000
67,[    6     3 15616     1],65980.33324303133,30638,0,100000000000000
68,[    6     2 15619     0],65979.67280009385,30641,0,100000000000000
69,[    5     6 15614     1],65984.72096084381,30635,0,100000000000000
70,[  4   7 835   1],65979.54661656258,15855,0,100000000000000
71,[    6     4 15615     0],65980.00450887508,30637,0,100000000000000
72,[    3     2 11592     1],65974.87583612511,26611,0,100000000000000
73,[ 5  8 12  1],65982.96456984381,15033,0,100000000000000
74,[    6     7 14321     0],65985.3890370313,29343,0,100000000000000
75,[   6    1 5824    1],65980.59126387509,20846,0,100000000000000
76,[2 4 6 1],65969.55547550012,15024,0,100000000000000
77,[   4    7 4678    0],65985.11774087505,19698,0,100000000000000
78,[    1     2 10036     0],65959.49931356266,25053,0,100000000000000
79,[   7    9 2471    1],65987.35789231256,17494,0,100000000000000
80,[   7    1 1480    1],65978.52588240635,16503,0,100000000000000
81,[    5     2 15557     1],65977.92800278135,30578,0,100000000000000
82,[ 7  9 16  1],65989.18738037505,15039,0,100000000000000
83,[   5    9 3409    0],65987.8055566563,18430,0,100000000000000
84,[ 2  8 10  0],65971.27374281263,15028,0,100000000000000
85,[    7     4 15585     1],65984.11452790632,30608,0,100000000000000
86,[ 4  7 11  1],65978.98730340633,15031,0,100000000000000
87,[   3    3 3875    1],65977.2079403126,18894,0,100000000000000
88,[    7     7 11231     0],65985.82315634382,26254,0,100000000000000
89,[ 5  5 10  0],65981.30771890633,15031,0,100000000000000
90,[ 6  6 12  1],65984.25916043756,15034,0,100000000000000
91,[4 4 6 1],65975.62548509386,15026,0,100000000000000
92,[    6     2 15616     1],65978.98930706261,30638,0,100000000000000
