,t1,t2,t3,t4,energy,old duration,lost,dead,duration
0,1,2,10036,0,65959.49931356267,25053,0,100000000000000,10039
1,1,6,2134,0,65965.3875553439,17151,0,100000000000000,2141
2,1,5,6,0,65965.44618803138,15023,0,100000000000000,12
3,1,2,11962,1,65965.86235284389,26979,0,100000000000000,11965
4,1,8,9,0,65966.63792531264,15026,0,100000000000000,18
5,6,9,2655,1,65967.07930906264,25902,0,100000000000000,2670
6,2,1,32,1,65967.1674851564,15050,0,100000000000000,35
7,3,2,5,1,65967.65242815638,15024,0,100000000000000,10
8,7,9,15440,0,65967.73035812513,15619,0,100000000000000,15456
9,7,9,14861,0,65967.73570500013,24232,0,100000000000000,14877
10,3,1,15621,1,65968.97292975013,30640,0,100000000000000,15625
11,6,9,12490,0,65969.38816875013,17709,0,100000000000000,12505
12,2,4,6,1,65969.55547550012,15024,0,100000000000000,12
13,6,9,1477,1,65969.60844209387,16596,0,100000000000000,1492
14,3,2,3857,1,65969.70394931264,18876,0,100000000000000,3862
15,3,2,3859,1,65969.95457206263,18878,0,100000000000000,3864
16,3,1,8615,1,65970.04637837513,23634,0,100000000000000,8619
17,3,2,5,0,65970.22073153137,15024,0,100000000000000,10
18,2,6,15617,0,65970.24282353139,30635,0,100000000000000,15625
19,7,9,8670,1,65970.57651484388,16820,0,100000000000000,8686
20,2,4,6,1,65970.59677321887,15024,0,100000000000000,12
21,7,9,14861,1,65970.64099909387,21485,0,100000000000000,14877
22,2,4,4238,1,65970.69514846889,19256,0,100000000000000,4244
23,2,5,7,1,65970.79992425012,15025,0,100000000000000,14
24,7,9,16,1,65971.10731012512,28898,0,100000000000000,32
25,3,4,6,1,65971.17307068761,15025,0,100000000000000,13
26,2,8,10,0,65971.27374281263,15028,0,100000000000000,20
27,2,6,6684,1,65971.63797446887,21702,0,100000000000000,6692
28,7,8,12488,0,65972.05567159384,15813,0,100000000000000,12503
29,6,9,15,1,65972.38890071887,16498,0,100000000000000,30
30,7,9,8824,0,65972.39298590635,15487,0,100000000000000,8840
31,3,2,12028,1,65973.32350578137,27047,0,100000000000000,12033
32,7,9,15609,1,65973.58753000012,17224,0,100000000000000,15625
33,2,6,5937,1,65973.71122903138,20955,0,100000000000000,5945
34,3,4,3009,1,65973.95878462512,18028,0,100000000000000,3016
35,4,2,707,0,65974.22778159387,15727,0,100000000000000,713
