,pop,energy,duration,lost,dead
0,[   6    7 2024    0],45990.14120334379,17196,0,100000000000000
1,[    7     7 15611     0],45993.45287081252,17781,0,100000000000000
2,[    7     7 12103     0],45996.561699843754,23176,0,100000000000000
3,[    7     9 15610     0],45998.68113571875,27177,0,100000000000000
4,[    7     8 11489     0],45991.30583931253,30272,0,100000000000000
5,[ 7  9 16  0],45999.737979468744,26898,0,100000000000000
6,[    7     7 15611     0],45997.17289584377,23606,0,100000000000000
7,[    7     8 11303     0],45990.46781715628,18639,0,100000000000000
8,[ 6  6 12  0],45998.66801359374,15724,0,100000000000000
9,[   6    8 9419    0],45999.72827996875,25722,0,100000000000000
10,[ 6  6 13  0],45998.66953784375,27698,0,100000000000000
11,[   7    9 8180    0],45999.733472500004,28318,0,100000000000000
12,[    6     8 15611     0],45996.58011640625,27053,0,100000000000000
13,[    7     7 15231     0],45994.10917778126,28275,0,100000000000000
14,[    7     6 12493     0],45994.415006031275,28345,0,100000000000000
15,[ 7  7 14  0],45998.67663103126,22305,0,100000000000000
16,[   6    6 5864    0],45990.63237728128,28292,0,100000000000000
17,[   6    6 7782    0],45991.30969956253,23834,0,100000000000000
18,[ 7  7 13  0],45994.962835687504,19045,0,100000000000000
19,[ 7  8 15  0],45994.45874109376,25181,0,100000000000000
20,[    6     6 15613     0],45992.821784906264,25830,0,100000000000000
21,[ 6  8 14  0],45998.11061903125,24098,0,100000000000000
22,[  7   7 833   0],45999.743722125,28201,0,100000000000000
23,[ 6  8 14  0],45999.731571843746,25675,0,100000000000000
24,[    7     8 15610     0],45994.46703796877,24267,0,100000000000000
25,[    6     6 14574     0],45986.64082606255,26085,0,100000000000000
26,[   6    8 7404    0],45994.47441556251,18271,0,100000000000000
27,[ 7  7 14  0],45991.29047315628,26355,0,100000000000000
28,[   6    9 2548    0],45997.12340446876,16503,0,100000000000000
29,[   6    9 9474    0],45995.7076951875,25255,0,100000000000000
30,[    7     7 10896     0],45997.06075396876,27048,0,100000000000000
31,[ 6  8 14  0],45990.51991071879,21368,0,100000000000000
32,[    6     7 15610     0],45999.484744031244,20654,0,100000000000000
33,[  6   7 825   0],45998.67510678125,21318,0,100000000000000
34,[    6     6 15609     0],45989.057724437545,16092,0,100000000000000
35,[   6    6 3785    0],45992.66453884378,23461,0,100000000000000
36,[    6     8 15054     0],45999.74507034375,21274,0,100000000000000
37,[    6     8 15611     0],45996.559123562496,18268,0,100000000000000
38,[    6     7 15612     0],45994.26388818752,27802,0,100000000000000
39,[    7     8 11212     0],45998.33917434375,27894,0,100000000000000
40,[    6     6 15613     0],45999.48121300001,20744,0,100000000000000
41,[ 7  7 13  0],45999.728838874995,15226,0,100000000000000
42,[ 6  6 14  0],45994.28868771878,15893,0,100000000000000
43,[    6     9 10930     0],45990.32936946878,26995,0,100000000000000
44,[    6     7 13216     0],45996.563768593755,18390,0,100000000000000
45,[    7     7 15611     0],45999.732796875,18213,0,100000000000000
46,[   6    7 9944    0],45996.023138156255,19132,0,100000000000000
47,[ 6  7 14  0],45999.73195509375,18321,0,100000000000000
48,[   6    6 6506    0],45999.739666031244,23756,0,100000000000000
49,[ 7  7 12  0],45998.690400281244,21654,0,100000000000000
50,[   7    8 6653    0],45999.7452661875,23289,0,100000000000000
51,[   7    6 5800    0],45989.622597312526,29123,0,100000000000000
52,[ 7  6 16  0],45998.67663103126,26351,0,100000000000000
53,[    6     9 15231     0],45996.93966359376,28567,0,100000000000000
54,[   6    7 3430    0],45989.60331159378,15962,0,100000000000000
55,[    7     9 15609     0],45992.31646678127,18377,0,100000000000000
56,[   7    6 2597    0],45999.73005443749,25502,0,100000000000000
57,[   7    7 9063    0],45985.85182193755,28154,0,100000000000000
58,[   7    6 4507    0],45999.33752946874,20867,0,100000000000000
59,[   7    6 6152    0],45986.566501312554,24967,0,100000000000000
60,[    7     6 14525     0],45997.372053031264,24769,0,100000000000000
61,[   6    7 4225    0],45991.91323284377,26552,0,100000000000000
62,[ 6  7 13  0],45999.737979468744,25078,0,100000000000000
63,[   6    7 1614    0],45990.45619878128,26660,0,100000000000000
64,[    6     7 15612     0],45998.67595540626,29998,0,100000000000000
65,[    6     6 13294     0],45999.737979468744,22301,0,100000000000000
66,[    6     8 15611     0],45994.470898218766,27641,0,100000000000000
