,t1,t2,t3,t4,energy,old duration,lost,dead,duration
0,1,2,3,0,45980.88204540632,15020,0,100000000000000,6
1,1,2,13555,1,45981.61109818757,28572,0,100000000000000,13558
2,1,3,15621,1,45981.76022562507,30638,0,100000000000000,15625
3,1,3,7054,0,45982.49073456257,22071,0,100000000000000,7058
4,1,4,15620,0,45983.7525713438,30637,0,100000000000000,15625
5,1,9,4742,1,45984.34184834381,19759,0,100000000000000,4752
6,1,6,957,1,45985.19021862506,15974,0,100000000000000,964
7,1,8,13367,0,45985.2058885313,28384,0,100000000000000,13376
8,1,6,4510,0,45985.2058885313,19527,0,100000000000000,4517
9,7,7,9063,0,45985.85182193755,28154,0,100000000000000,9077
10,1,6,7,1,45986.032075937546,15024,0,100000000000000,14
11,7,6,6152,0,45986.56650131256,24967,0,100000000000000,6165
12,6,6,14574,0,45986.64082606255,26085,0,100000000000000,14586
13,7,7,8400,0,45986.74582606254,16658,0,100000000000000,8414
14,3,1,1062,0,45988.66768940629,16081,0,100000000000000,1066
15,2,3,11826,1,45988.81831259379,26844,0,100000000000000,11831
16,6,6,15609,0,45989.057724437545,16092,0,100000000000000,15621
17,2,4,15619,0,45989.594538656296,30637,0,100000000000000,15625
18,6,7,3430,0,45989.60331159378,15962,0,100000000000000,3443
19,7,6,5800,0,45989.62259731253,29123,0,100000000000000,5813
20,3,2,9606,1,45989.76811353128,24625,0,100000000000000,9611
21,2,5,11791,1,45990.14052315629,26809,0,100000000000000,11798
22,6,7,2024,0,45990.14120334379,17196,0,100000000000000,2037
23,2,5,3509,1,45990.27177315629,18527,0,100000000000000,3516
24,3,2,7055,0,45990.28768031253,22074,0,100000000000000,7060
25,6,9,10930,0,45990.32936946878,26995,0,100000000000000,10945
26,6,7,13,0,45990.34404668753,16687,0,100000000000000,26
27,2,6,10699,1,45990.44660609378,25717,0,100000000000000,10707
28,2,8,15,1,45990.44660609378,15033,0,100000000000000,25
29,2,6,1904,0,45990.45521971878,16922,0,100000000000000,1912
30,6,7,1614,0,45990.45619878128,26660,0,100000000000000,1627
31,2,7,5546,0,45990.46261325003,20564,0,100000000000000,5555
32,2,6,10865,0,45990.46261325003,25883,0,100000000000000,10873
33,2,7,3953,0,45990.46447971878,18971,0,100000000000000,3962
34,7,8,11303,0,45990.46781715628,18639,0,100000000000000,11318
35,6,8,14,0,45990.51991071879,21368,0,100000000000000,28
36,6,6,5864,0,45990.632377281276,28292,0,100000000000000,5876
