,pop,energy,duration,lost,dead
0,[ 5  4 49  0],7836.693906249999,358,9,100000000000000
1,[4 4 8 0],7860.2884374999985,286,6,100000000000000
2,[  5   4 231   0],7837.502093749999,223,10,100000000000000
3,[ 4  4 43  0],7866.721,406,10,100000000000000
4,[  5   4 221   0],7913.0126249999985,304,7,100000000000000
5,[ 6  4 10  0],7831.40575,356,14,100000000000000
6,[5 4 9 0],7830.0324375,227,10,100000000000000
7,[ 5  4 11  0],7749.48071875,398,8,100000000000000
8,[  6   4 164   0],7862.5019999999995,425,2,100000000000000
9,[ 6  4 15  0],7916.928281249999,307,4,100000000000000
10,[  6   4 136   0],7918.114156249999,259,11,100000000000000
11,[  6   4 230   0],7823.537031250003,234,15,100000000000000
12,[ 7  4 11  0],7866.7440625,387,4,100000000000000
13,[  6   4 116   0],7918.413374999998,289,7,100000000000000
14,[  5   4 231   0],7744.344812500001,264,10,100000000000000
15,[  4   4 186   0],7829.4575625,261,10,100000000000000
16,[ 7  4 91  0],7741.956656249999,298,13,100000000000000
17,[ 7  4 11  0],7916.248093749999,304,6,100000000000000
18,[ 7  4 11  0],7777.16284375,343,11,100000000000000
19,[4 4 8 0],7772.062781250001,356,11,100000000000000
20,[  7   4 229   0],7843.86484375,317,11,100000000000000
21,[ 6  4 10  0],7863.548906249999,377,7,100000000000000
22,[  4   4 232   0],7866.314750000002,241,9,100000000000000
23,[  7   4 177   0],7915.961593750002,364,6,100000000000000
24,[  5   4 231   0],7731.390343749999,411,9,100000000000000
25,[  7   4 229   0],7746.314125,281,10,100000000000000
26,[  6   4 230   0],7856.8589687500025,331,7,100000000000000
27,[5 4 9 0],7828.55875,384,8,100000000000000
28,[  5   4 121   0],7871.291500000002,265,9,100000000000000
29,[ 5  4 79  0],7866.748937499999,250,5,100000000000000
30,[5 4 9 0],7918.826281249999,315,8,100000000000000
31,[ 5  4 57  0],7912.064062499999,286,7,100000000000000
32,[  6   4 167   0],7753.820437499999,375,10,100000000000000
33,[  6   4 163   0],7774.265531250001,289,9,100000000000000
34,[  7   4 141   0],7907.906999999998,263,8,100000000000000
35,[ 4  4 82  0],7877.300406250003,269,6,100000000000000
36,[5 4 9 0],7916.339343749999,413,7,100000000000000
37,[5 4 9 0],7874.889343749999,426,4,100000000000000
38,[ 6  4 10  0],7906.269062499999,304,3,100000000000000
39,[  6   4 230   0],7907.8933124999985,243,8,100000000000000
40,[  7   4 229   0],7917.040062499998,374,3,100000000000000
41,[  5   4 162   0],7869.527625000002,292,3,100000000000000
42,[ 6  4 68  0],7916.261781249999,360,6,100000000000000
43,[ 5  4 34  0],7873.705156250003,413,7,100000000000000
44,[  6   4 197   0],7857.9106249999995,275,4,100000000000000
45,[ 6  4 99  0],7766.2370625,321,9,100000000000000
46,[  6   4 161   0],7836.215468749999,352,8,100000000000000
47,[ 4  4 50  0],7766.4679375,396,7,100000000000000
48,[ 5  4 51  0],7908.433968749998,295,9,100000000000000
49,[  6   4 112   0],7920.622062499999,326,13,100000000000000
50,[  5   4 128   0],7915.857999999998,280,5,100000000000000
51,[  5   4 231   0],7918.178406249999,360,6,100000000000000
52,[ 7  4 11  0],7914.263406249998,312,1,100000000000000
53,[  7   4 177   0],7912.873468749999,295,7,100000000000000
54,[  4   4 186   0],7773.857875,431,9,100000000000000
55,[ 7  4 11  0],7874.129125000003,249,6,100000000000000
56,[ 5  4 21  0],7866.8135,390,6,100000000000000
