,pop,energy,duration,lost,dead
0,[ 4  4 11  0],16321.192187500004,284,51,677
1,[  5   4 178   0],8644.303125000004,375,47,303
2,[ 7  3 10  0],15761.112500000001,334,54,595
3,[ 6  2 10  0],10319.510937500003,255,62,369
4,[  4   2 234   0],8688.145312500003,226,55,519
5,[  6   4 230   0],15593.617187500002,310,50,693
6,[ 7  3 54  0],17427.0390625,265,45,612
7,[  7   9 224   0],14667.206249999997,251,45,263
8,[ 7  3 67  0],7843.750000000004,362,66,246
9,[ 7  4 50  0],12781.187499999998,386,50,332
10,[4 4 8 0],14942.507812500002,268,45,316
11,[ 6  4 76  0],16281.3390625,362,39,523
12,[  6   4 182   0],16813.734375,372,42,389
13,[ 5  3 24  0],10243.996875000008,234,50,208
14,[ 5  4 79  0],15399.384375000005,302,51,322
15,[5 4 9 0],15321.962500000001,216,41,477
16,[  4   3 233   0],11449.473437500006,221,45,244
17,[ 7  3 93  0],11812.0734375,270,53,245
18,[  5   4 162   0],11535.0546875,270,48,400
19,[  7   4 229   0],17221.053125000002,385,33,372
20,[  5   3 232   0],9469.4359375,296,60,365
21,[ 4  4 13  0],10943.585937500005,280,57,354
22,[5 4 9 0],18007.9625,311,43,666
23,[ 6  3 91  0],11026.745312500005,344,47,454
24,[  5   2 108   0],12339.662500000004,203,52,559
25,[  5   3 170   0],16834.903125000004,396,43,465
26,[  7   4 159   0],9668.257812500002,284,48,262
27,[  5   4 231   0],11938.779687500002,363,58,235
28,[ 5  4 97  0],8722.0515625,199,53,287
29,[  4   4 181   0],8565.1,252,56,371
30,[ 4  4 23  0],18533.867187500004,191,49,641
31,[ 5  4 35  0],16220.593750000002,381,40,328
32,[ 4  4 28  0],11746.821875000001,210,34,234
33,[7 3 7 0],16768.600000000002,214,51,405
34,[  5   3 232   0],11545.973437500004,207,52,242
35,[ 6  3 87  0],9960.742187500005,294,65,390
36,[ 4  3 97  0],10249.870312500005,202,79,314
37,[  7   3 105   0],17352.259375000005,269,47,478
38,[  5   4 231   0],10445.345312500001,336,54,361
39,[  4   4 232   0],10619.831250000003,327,57,344
40,[  5   4 224   0],15297.067187500003,229,36,460
41,[ 6  4 14  0],16716.1828125,385,48,521
42,[4 2 7 0],9516.923437500003,206,58,211
43,[ 6  4 10  0],9415.7125,208,62,177
44,[  5   4 117   0],17597.135937500003,313,39,588
45,[4 4 8 0],14898.095312500005,180,40,476
46,[  4   3 149   0],14557.751562500003,228,52,320
47,[ 6  3 94  0],10330.376562500005,297,53,359
48,[  6   4 106   0],13903.835937500002,217,53,454
49,[6 4 7 0],15662.1515625,388,42,471
50,[  5   7 158   0],17662.5453125,327,61,687
51,[  6   4 148   0],14805.759375000001,251,48,874
52,[  6   4 152   0],8497.050000000001,253,58,194
53,[4 4 9 0],14398.331250000007,348,56,386
54,[  4   4 190   0],8375.875000000004,246,58,541
55,[ 5  4 80  0],8003.354687500002,208,51,168
56,[ 7  2 46  0],14855.151562500005,174,64,480
57,[ 6  4 70  0],16599.4375,349,41,445
58,[  4   2 225   0],8641.142187500007,214,62,224
59,[  7   4 155   0],17102.323437500007,307,54,611
60,[ 7  4 23  0],8600.751562500003,259,60,301
61,[  7   4 127   0],13777.040625000003,375,44,740
62,[ 7  4 99  0],16364.425000000003,327,47,612
63,[  7   4 170   0],13828.239062500003,225,32,284
64,[ 5  3 57  0],12024.596875000003,323,69,540
65,[6 3 9 0],16354.062500000002,189,56,641
66,[  7   4 230   0],16991.5328125,264,48,569
67,[  6   4 195   0],9649.685937500006,339,46,500
68,[  6   4 230   0],10574.028125000004,236,44,494
69,[  7   3 231   0],14183.234375,317,49,433
70,[ 7  4 51  0],14144.4421875,195,52,490
71,[ 5  2 84  0],13532.985937500005,255,39,275
72,[  5   3 232   0],11117.835937500002,236,64,222
73,[ 6  4 39  0],10117.185937500006,337,51,396
74,[ 7  4 35  0],15389.28125,343,33,695
75,[6 4 8 0],15244.4375,378,43,645
76,[  6   3 103   0],14169.281250000002,325,48,687
77,[  4   4 169   0],14470.587500000003,223,54,447
78,[ 6  4 88  0],13215.2703125,393,53,320
79,[ 5  3 90  0],10011.471875000005,212,52,381
80,[  5   3 184   0],8977.935937500004,196,60,497
81,[7 2 9 0],17005.0671875,246,39,343
82,[  6   4 230   0],10822.9296875,386,48,250
83,[4 4 8 0],15111.153125000003,304,43,255
84,[  4   4 148   0],13490.529687500002,304,47,324
85,[ 4  4 47  0],16193.395312499999,319,39,743
86,[ 6  4 53  0],12214.964062500003,325,48,370
87,[ 5  4 64  0],15679.146875000006,369,56,655
88,[  4   2 174   0],12713.5453125,224,50,313
89,[  5   4 231   0],15942.396875000006,231,54,660
90,[ 7  3 39  0],10719.242187499998,301,57,498
91,[5 3 9 0],11526.618750000003,363,72,494
92,[ 5  4 11  0],9176.554687500005,377,68,498
93,[  6   3 231   0],11164.375000000002,380,42,385
94,[  5   3 180   0],14125.657812500003,346,47,414
95,[ 6  4 10  0],10586.493749999998,220,38,518
96,[ 6  9 15  0],16525.540625000005,289,46,375
97,[5 3 8 0],14822.473437500003,289,46,372
98,[  4   4 133   0],13640.0296875,328,51,305
99,[5 2 7 0],10656.571874999998,327,44,317
100,[  6   7 160   0],14587.353125000003,330,31,440
101,[ 7  5 66  1],8999.614062500004,237,52,195
102,[ 7  8 15  0],15409.085937500004,186,40,337
103,[ 6  6 61  1],10093.543750000003,231,43,364
104,[  5   1 230   0],16273.425000000001,399,36,457
105,[  4   9 161   0],15150.320312500002,329,57,314
106,[ 6  3 63  0],16347.5828125,233,49,592
107,[  7   4 229   0],17465.618749999998,400,57,718
108,[ 6  4 10  1],11362.749999999998,180,51,516
109,[  4   2 113   0],15520.35,281,42,544
110,[4 3 7 0],16315.8875,175,57,617
111,[ 4  8 12  1],9587.860937500003,180,71,244
112,[ 7  1 94  0],15982.165625000001,265,67,765
113,[ 5  9 80  1],11367.973437500003,249,53,321
114,[  7   8 225   1],11147.0296875,396,38,187
115,[ 4  9 47  1],12937.115625000004,215,53,352
116,[  6   7 141   1],10164.389062500002,311,37,191
117,[6 1 7 1],8887.834375000004,177,55,499
118,[  6   9 101   0],16796.776562500007,271,48,377
119,[  6   6 129   0],13800.145312500004,299,43,286
120,[ 4  1 10  0],16135.5578125,178,43,635
121,[ 5  1 53  0],15828.765625000002,222,57,477
122,[ 5  3 54  1],12955.175000000001,223,43,399
123,[ 4  5 80  0],13828.100000000004,248,44,332
124,[ 6  7 40  0],14769.968750000002,210,49,386
125,[  7   3 136   0],15818.41875,307,58,429
126,[ 5  7 31  1],8005.275000000003,200,71,237
127,[ 6  1 69  0],15147.873437500002,239,49,543
128,[ 4  8 14  1],10837.356250000006,182,48,338
129,[  6   6 139   1],8245.392187500005,309,55,254
130,[  5   1 203   0],13346.0109375,372,53,853
131,[  4   7 229   0],16012.146875000002,397,40,330
132,[  7   8 148   1],11969.614062500003,319,47,246
133,[  4   4 217   0],15979.381250000002,385,43,641
134,[ 5  1 64  1],8622.587500000005,233,45,502
135,[ 7  8 92  1],10357.331250000003,263,55,307
136,[5 4 9 1],12200.0625,178,65,495
137,[  6   3 212   0],16145.414062500002,382,65,618
138,[  6   2 152   1],11093.000000000002,322,62,406
139,[ 7  7 14  0],15817.789062500005,185,49,349
140,[ 5  8 11  1],11215.623437500002,180,34,333
141,[  6   7 214   1],13188.198437500001,384,50,238
142,[ 5  1 94  1],9074.6,263,48,476
143,[ 6  2 77  0],17352.5765625,247,36,618
144,[  6   6 228   0],12878.301562500003,398,51,418
145,[ 4  7 11  0],15131.4390625,179,41,386
146,[ 6  1 58  1],10825.857812500004,228,57,387
147,[  4   2 234   1],10091.671875000004,402,58,475
148,[ 4  7 66  1],11046.501562500003,234,50,243
149,[ 6  8 14  0],15354.57500000001,184,48,340
150,[ 5  7 13  1],10421.093750000002,182,53,225
151,[ 7  8 29  1],12032.682812500003,200,42,341
152,[  5   6 104   0],14021.526562500003,273,41,510
153,[  5   8 179   0],14775.907812500003,348,50,255
154,[  6   4 230   1],11597.984375000002,400,48,541
155,[ 4  2 83  0],17326.2203125,251,53,475
156,[  4   4 136   1],10409.923437500005,304,53,520
157,[  5   5 142   0],13492.459375000006,311,49,383
158,[  5   5 129   1],9067.406250000005,298,57,220
159,[ 6  8 14  0],14634.2796875,184,44,362
160,[  6   6 207   1],9220.598437500004,377,59,255
161,[ 5  7 12  0],13876.7859375,181,56,433
162,[ 6  3 85  0],17120.426562499997,255,43,593
163,[ 5  4 55  0],17294.904687500002,224,48,619
164,[  6   3 174   1],10753.3234375,344,56,497
165,[ 7  6 13  0],13855.55,184,44,427
166,[ 5  6 95  1],10235.1046875,264,60,213
167,[  6   8 226   0],15061.278125000003,396,41,362
168,[  4   3 233   0],18128.475000000002,401,56,639
169,[  4   4 105   1],11442.209375000004,273,58,519
170,[  6   8 201   1],9411.800000000007,371,68,366
171,[ 4  7 70  0],12990.196875000007,238,48,500
172,[5 2 7 0],17002.4234375,176,37,549
173,[ 4  7 11  0],15224.25,179,45,304
174,[ 4  4 52  0],16778.75625,220,58,591
175,[  7   4 210   0],16558.1578125,381,57,640
176,[  6   1 124   0],14741.309374999999,294,49,677
177,[  5   4 127   0],17696.828124999993,296,45,567
178,[  7   3 222   0],17439.29375,393,37,471
179,[  6   7 164   1],9368.217187500006,334,47,405
180,[ 4  7 77  1],9648.993750000001,245,62,269
181,[ 6  7 13  0],13701.97500000001,183,53,466
182,[ 7  5 21  1],7618.321875000004,192,59,247
183,[  7   4 229   1],11179.054687500005,400,66,544
184,[  4   3 104   0],16173.126562500001,272,55,666
185,[ 6  3 56  0],15524.389062500002,226,43,429
186,[  6   3 176   0],15770.918749999999,346,66,474
187,[  5   1 201   0],15794.853125,370,65,742
188,[  7   6 227   0],14044.431250000003,398,58,421
189,[  7   5 163   1],5926.4234375000015,334,84,253
190,[  6   8 213   1],8368.659375000003,383,61,332
191,[ 5  1 17  0],15792.607812499999,186,61,635
192,[ 5  8 27  0],14448.714062500001,196,32,342
193,[  5   2 233   0],15482.86875,402,42,640
194,[ 6  2 59  0],16544.043750000004,229,64,590
195,[  6   3 104   0],17546.826562500002,274,49,452
196,[ 4  1 46  0],15459.881249999999,214,54,476
197,[ 4  4 50  0],16461.148437500004,218,46,595
198,[ 6  2 32  1],10583.214062500001,202,49,477
199,[ 4  6 10  0],14586.184374999999,178,37,418
200,[  5   1 228   0],15575.426562500004,397,54,429
201,[  5   2 126   0],18184.642187500005,295,54,501
202,[  6   7 166   1],11517.1265625,336,48,274
203,[ 7  1 63  0],15405.154687499999,234,65,523
204,[ 4  9 72  0],15943.210937500004,240,46,354
205,[  4   6 230   1],8729.828125000004,398,68,233
