,pop,energy,duration,lost,dead
0,[ 6  8 81  0],3931.8282500000023,417,0,100000000000000
1,[ 5  8 87  0],3935.534750000002,425,0,100000000000000
2,[ 5  9 54  1],7.957800000000001,373,0,100000000000000
3,[ 6  8 10  0],3929.4815000000035,337,0,100000000000000
4,[ 5  9 92  1],3938.8081250000005,407,0,100000000000000
5,[  7   8 134   1],3941.6090000000004,397,0,100000000000000
6,[  5   9 150   1],7.957800000000001,231,0,100000000000000
7,[ 5  8 13  0],3932.295500000001,282,0,100000000000000
8,[  6   9 121   0],3942.089375,419,0,100000000000000
9,[  7   8 109   0],7.957800000000001,389,0,100000000000000
10,[ 4  9 54  1],3939.249125000002,315,0,100000000000000
11,[ 7  8 15  0],7.957800000000001,240,0,100000000000000
12,[ 5  9 39  0],7.957800000000001,422,0,100000000000000
13,[ 6  9 15  0],3933.222125000001,238,0,100000000000000
14,[ 7  8 15  1],3944.4098750000003,287,0,100000000000000
15,[  7   8 150   1],7.957800000000001,233,0,100000000000000
16,[ 7  9 65  0],7.957800000000001,341,0,100000000000000
17,[ 4  7 15  0],3930.8780000000015,289,0,100000000000000
18,[  5   9 226   1],7.957800000000001,249,0,100000000000000
19,[ 5  9 14  0],7.957800000000001,442,0,100000000000000
20,[ 7  7 31  0],3941.627375000001,380,0,100000000000000
21,[ 6  7 13  1],3933.2247500000003,370,0,100000000000000
22,[ 4  9 13  0],3938.8160000000025,299,0,100000000000000
23,[ 5  8 16  0],7.957800000000001,354,0,100000000000000
24,[  6   8 157   0],7.957800000000001,290,0,100000000000000
25,[ 7  9 16  0],3934.1540000000014,273,0,100000000000000
26,[  6   9 209   0],3936.9627500000006,258,0,100000000000000
27,[ 5  9 81  0],3922.0475000000015,293,0,100000000000000
28,[ 7  9 16  1],7.957800000000001,333,0,100000000000000
29,[ 4  9 13  0],7.957800000000001,345,0,100000000000000
30,[ 5  9 35  1],3939.7347500000024,349,0,100000000000000
31,[ 5  9 13  1],3944.8535,255,0,100000000000000
32,[ 6  8 12  1],3933.193250000002,320,0,100000000000000
33,[ 4  8 48  1],7.957800000000001,424,0,100000000000000
34,[ 5  9 14  1],3936.023000000001,392,0,100000000000000
35,[ 4  9 41  0],7.957800000000001,431,0,100000000000000
36,[ 4  8 81  1],7.957800000000001,320,0,100000000000000
37,[  5   9 148   1],3941.603750000002,325,0,100000000000000
38,[ 5  9 14  1],7.957800000000001,311,0,100000000000000
39,[ 6  8 99  1],7.957800000000001,323,0,100000000000000
40,[ 7  9 16  1],3937.868375000002,247,0,100000000000000
41,[  6   9 207   1],3938.8448750000002,358,0,100000000000000
42,[ 7  8 39  0],3929.484125000002,313,0,100000000000000
43,[ 5  8 15  0],7.957800000000001,232,0,100000000000000
44,[ 4  6 10  0],3938.330375000001,364,0,100000000000000
45,[  4   9 198   1],3934.6527500000007,270,0,100000000000000
46,[  6   8 139   0],3933.224750000002,327,0,100000000000000
47,[  6   9 162   0],3924.8536250000006,374,0,100000000000000
48,[  5   8 227   1],7.957800000000001,393,0,100000000000000
49,[  6   9 114   1],3932.298125000001,415,0,100000000000000
50,[ 7  7 86  0],7.957800000000001,423,0,100000000000000
51,[ 5  8 56  1],7.957800000000001,300,0,100000000000000
52,[  6   9 225   1],3925.814375000001,363,0,100000000000000
53,[ 5  9 14  0],7.957800000000001,372,0,100000000000000
54,[ 6  9 84  1],7.957800000000001,315,0,100000000000000
