,pop,energy,duration,lost,dead
0,[  5   4 192   0],19722.545687499995,269,24,100000000000000
1,[  5   4 204   0],19511.17184375,371,30,100000000000000
2,[4 4 8 0],19604.62265625,259,14,100000000000000
3,[  5   4 230   0],19539.635750000005,318,38,100000000000000
4,[ 7  4 11  0],19560.90671875,357,24,100000000000000
5,[  6   4 197   0],19581.78346875,358,24,100000000000000
6,[  5   4 178   0],19514.491125000008,347,37,100000000000000
7,[4 4 8 0],19309.079437499997,350,35,100000000000000
8,[  6   4 168   0],19544.020093749994,442,22,100000000000000
9,[  5   4 231   0],19706.21015625,419,30,100000000000000
10,[  4   4 232   0],19405.436156249998,296,22,100000000000000
11,[5 4 9 0],19594.83771875,257,20,100000000000000
12,[ 6  4 10  0],19562.125156250004,371,42,100000000000000
13,[  6   4 159   0],19326.527625,414,41,100000000000000
14,[  6   4 104   0],19721.547937499992,350,25,100000000000000
15,[  5   4 232   0],19355.282124999998,414,25,100000000000000
16,[ 4  4 17  0],19535.649437500007,398,30,100000000000000
17,[  7   4 229   0],19511.5124375,276,28,100000000000000
18,[6 4 8 0],19367.872531249996,439,41,100000000000000
19,[  7   4 229   0],19575.447874999994,237,17,100000000000000
20,[  5   4 231   0],19560.909124999995,357,24,100000000000000
21,[  6   4 230   0],19328.63471875,420,21,100000000000000
22,[  7   4 229   0],19537.385218750005,358,30,100000000000000
23,[ 7  4 11  0],19539.709687500002,341,36,100000000000000
24,[  6   4 153   0],19579.574875,365,24,100000000000000
25,[ 6  4 10  0],19577.390937499993,420,21,100000000000000
26,[  4   4 132   0],19609.521968749996,360,21,100000000000000
27,[  6   4 225   0],19381.461000000003,376,18,100000000000000
28,[ 6  4 71  0],19557.600375000005,426,31,100000000000000
29,[  6   4 223   0],19302.006531249997,358,24,100000000000000
30,[ 6  4 86  0],19544.229593750002,397,41,100000000000000
31,[  5   4 227   0],19302.580499999996,424,33,100000000000000
32,[5 4 9 0],19582.125562499994,249,22,100000000000000
33,[  4   4 142   0],19375.444718750005,273,28,100000000000000
34,[ 5  4 73  0],19292.70903125,337,28,100000000000000
35,[  5   4 114   0],19723.896531249997,327,28,100000000000000
36,[ 6  4 21  0],19598.085812499998,293,22,100000000000000
37,[  5   4 207   0],19721.480499999994,269,24,100000000000000
38,[5 4 9 0],19542.606843749996,268,22,100000000000000
39,[ 5  4 10  0],19360.129624999998,321,28,100000000000000
40,[4 4 8 0],19723.29990625,377,29,100000000000000
41,[ 6  4 10  0],19595.839875000005,261,19,100000000000000
42,[ 6  4 10  0],19685.92653124999,347,25,100000000000000
43,[ 7  4 11  0],19355.233437499995,375,28,100000000000000
44,[  5   4 231   0],19511.650968750004,426,29,100000000000000
45,[ 6  4 82  0],19360.0386875,269,36,100000000000000
46,[ 7  4 33  0],19313.362156249997,286,24,100000000000000
47,[  4   4 229   0],19718.831812499993,395,16,100000000000000
48,[ 5  4 18  0],19600.145624999997,432,23,100000000000000
49,[  6   4 135   0],19302.621499999997,391,29,100000000000000
50,[  6   4 227   0],19689.417999999994,312,37,100000000000000
51,[  7   4 152   0],19575.85396875,314,39,100000000000000
52,[  6   4 187   0],19555.196625,261,25,100000000000000
53,[4 4 8 0],19565.969812499996,418,24,100000000000000
54,[  5   4 223   0],19712.100562499996,389,16,100000000000000
55,[  6   4 184   0],19687.62290625,222,32,100000000000000
56,[  6   4 136   0],19609.738031249995,253,23,100000000000000
57,[5 4 9 0],19684.10374999999,238,21,100000000000000
58,[  5   4 214   0],19616.61615625,339,22,100000000000000
59,[  6   4 230   0],19302.808468749994,282,40,100000000000000
60,[ 5  4 65  0],19307.964781249997,227,22,100000000000000
61,[  7   4 107   0],19409.9299375,378,30,100000000000000
62,[  7   4 137   0],19719.909718749997,268,17,100000000000000
63,[  7   4 141   0],19716.911718749994,391,29,100000000000000
64,[ 6  4 72  0],19592.452843749998,380,20,100000000000000
65,[  4   4 201   0],19702.393812499995,394,19,100000000000000
66,[ 7  4 11  0],19548.832624999995,247,26,100000000000000
67,[  5   4 143   0],19362.40478125,259,31,100000000000000
68,[  7   4 229   0],19713.213812499995,343,19,100000000000000
69,[ 6  4 10  0],19701.779218749994,275,18,100000000000000
70,[4 4 8 0],19686.761281249994,358,26,100000000000000
71,[ 6  4 10  0],19556.569875000005,236,29,100000000000000
72,[ 6  4 85  0],19717.722749999994,358,30,100000000000000
73,[ 6  4 62  0],19724.270624999997,347,28,100000000000000
74,[ 6  4 90  0],19684.986031249995,411,22,100000000000000
75,[ 7  4 52  0],19598.652843750002,331,15,100000000000000
76,[  5   4 116   0],19387.285250000004,266,29,100000000000000
