,t1,t2,t3,t4,energy,old duration,lost,dead,duration
0,5,5,117,1,7729.07340625,330,5,100000000000000,127
1,7,5,228,1,7729.389687499999,443,4,100000000000000,240
2,7,4,229,0,7731.139625000002,370,11,100000000000000,240
3,5,4,231,0,7731.3903437499985,411,9,100000000000000,240
4,5,5,103,1,7733.10878125,316,13,100000000000000,113
5,5,4,23,0,7733.745124999998,327,8,100000000000000,32
6,7,5,58,1,7733.817656250001,273,10,100000000000000,70
7,4,5,231,1,7734.00740625,443,13,100000000000000,240
8,7,5,135,1,7736.2978749999975,350,8,100000000000000,147
9,5,5,230,1,7736.495125,443,17,100000000000000,240
10,6,5,92,1,7737.39478125,306,7,100000000000000,103
11,6,5,231,1,7737.630125,445,15,100000000000000,242
12,4,5,40,1,7738.067031249999,252,7,100000000000000,49
13,6,4,132,0,7739.587249999999,231,8,100000000000000,142
14,6,6,110,1,7740.59228125,324,8,100000000000000,122
15,6,6,99,1,7741.38965625,313,6,100000000000000,111
16,6,6,12,1,7741.583593749999,226,3,100000000000000,24
17,7,4,91,0,7741.956656249999,298,13,100000000000000,102
18,5,4,141,0,7742.97021875,255,7,100000000000000,150
19,4,4,232,0,7743.219406250001,420,15,100000000000000,240
20,5,4,231,0,7744.344812500001,264,10,100000000000000,240
21,6,6,71,1,7745.21675,285,12,100000000000000,83
22,6,6,208,1,7745.249125000001,422,10,100000000000000,220
23,6,6,184,1,7746.0495,398,14,100000000000000,196
24,7,4,229,0,7746.314125,281,10,100000000000000,240
25,6,6,187,1,7746.6983125000015,401,9,100000000000000,199
26,6,4,10,0,7747.450562499998,400,10,100000000000000,20
27,5,4,11,0,7749.48071875,398,8,100000000000000,20
28,6,7,14,1,7750.534031249998,228,7,100000000000000,27
29,7,7,226,1,7751.35584375,441,7,100000000000000,240
30,5,7,165,1,7751.77403125,378,10,100000000000000,177
31,6,4,167,0,7753.820437499999,375,10,100000000000000,177
32,4,7,209,1,7754.230156250003,421,12,100000000000000,220
33,5,4,231,0,7755.44628125,259,9,100000000000000,240
34,5,7,160,1,7756.46384375,373,11,100000000000000,172
35,7,4,11,0,7758.4386562499985,413,8,100000000000000,22
36,5,7,14,1,7759.200031249999,227,14,100000000000000,26
37,7,4,11,0,7759.644781249999,377,7,100000000000000,22
38,6,7,74,1,7759.65240625,288,8,100000000000000,87
39,6,7,44,1,7761.970187499999,258,7,100000000000000,57
40,5,7,228,1,7762.43646875,441,13,100000000000000,240
41,7,8,52,1,7762.83171875,267,13,100000000000000,67
42,7,7,89,1,7763.848000000001,304,13,100000000000000,103
43,5,8,43,1,7764.0342500000015,256,9,100000000000000,56
44,7,8,103,1,7764.0906875,318,7,100000000000000,118
45,6,4,230,0,7764.920406249998,297,7,100000000000000,240
46,7,8,150,1,7765.19953125,365,6,100000000000000,165
