,t1,t2,t3,t4,energy,old duration,lost,dead,duration
0,5,4,73,0,19292.70903125,337,28,100000000000000,82
1,7,5,228,1,19297.947125000006,443,31,100000000000000,240
2,5,5,230,1,19300.91040625,443,28,100000000000000,240
3,4,5,154,1,19301.43409375,366,37,100000000000000,163
4,5,5,230,1,19301.447125,443,21,100000000000000,240
5,6,4,223,0,19302.00653125,358,24,100000000000000,233
6,6,5,98,1,19302.1930625,312,39,100000000000000,109
7,6,5,11,1,19302.4574375,225,35,100000000000000,22
8,5,4,227,0,19302.5805,424,33,100000000000000,236
9,6,4,135,0,19302.6215,391,29,100000000000000,145
10,6,4,230,0,19302.808468749994,282,40,100000000000000,240
11,7,4,197,0,19307.3736875,440,28,100000000000000,208
12,5,4,65,0,19307.96478125,227,22,100000000000000,74
13,4,4,8,0,19309.0794375,350,35,100000000000000,16
14,5,5,234,1,19312.22228125,447,33,100000000000000,244
15,7,4,33,0,19313.36215625,286,24,100000000000000,44
16,6,6,95,1,19325.46796875,309,30,100000000000000,107
17,7,4,48,0,19325.61471875,394,25,100000000000000,59
18,6,4,159,0,19326.527625,414,41,100000000000000,169
19,7,6,56,1,19328.2524375,271,27,100000000000000,69
20,6,4,230,0,19328.63471875,420,21,100000000000000,240
21,5,6,163,1,19328.66540625,376,22,100000000000000,174
22,5,4,62,0,19332.65653125,355,29,100000000000000,71
23,5,6,234,1,19340.281875,447,34,100000000000000,245
24,7,4,192,0,19354.855749999995,347,18,100000000000000,203
25,7,4,11,0,19355.233437499995,375,28,100000000000000,22
26,5,4,232,0,19355.282125,414,25,100000000000000,241
27,5,7,228,1,19357.353374999995,441,25,100000000000000,240
28,4,7,30,1,19358.29671875,242,36,100000000000000,41
29,6,4,82,0,19360.0386875,269,36,100000000000000,92
30,5,4,10,0,19360.129625,321,28,100000000000000,19
31,4,7,162,1,19361.66809375,374,29,100000000000000,173
32,5,4,143,0,19362.40478125,259,31,100000000000000,152
33,6,4,8,0,19367.87253125,439,41,100000000000000,18
34,7,4,229,0,19368.846718750006,438,26,100000000000000,240
35,7,8,13,1,19373.37559375,228,20,100000000000000,28
36,4,4,142,0,19375.444718750005,273,28,100000000000000,150
37,4,8,163,1,19377.611343750006,375,28,100000000000000,175
38,6,4,225,0,19381.461000000007,376,18,100000000000000,235
39,5,8,204,1,19382.88415625,417,33,100000000000000,217
40,4,8,122,1,19384.44746875,334,35,100000000000000,134
41,5,8,225,1,19384.58553125,438,26,100000000000000,238
42,5,4,116,0,19387.285250000004,266,29,100000000000000,125
43,4,9,57,1,19402.930187499995,269,26,100000000000000,70
44,4,4,232,0,19405.43615625,296,22,100000000000000,240
45,7,4,107,0,19409.9299375,378,30,100000000000000,118
46,6,1,176,1,19509.539062500004,390,25,100000000000000,183
47,6,1,7,1,19510.348375000005,221,28,100000000000000,14
48,5,4,204,0,19511.17184375,371,30,100000000000000,213
49,7,4,229,0,19511.5124375,276,28,100000000000000,240
50,5,4,231,0,19511.650968750004,426,29,100000000000000,240
51,4,1,144,1,19512.114062500004,356,30,100000000000000,149
52,6,1,158,1,19512.150562500006,372,32,100000000000000,165
53,4,1,131,1,19512.726000000006,343,35,100000000000000,136
54,4,1,235,1,19513.588875000005,447,37,100000000000000,240
55,6,1,218,1,19513.992093750006,432,38,100000000000000,225
56,6,1,7,1,19514.014343750005,221,36,100000000000000,14
57,7,1,164,1,19514.326875,379,36,100000000000000,172
58,5,4,178,0,19514.491125000008,347,37,100000000000000,187
59,4,1,172,1,19514.515218750006,384,39,100000000000000,177
60,5,1,163,1,19514.828593750004,376,38,100000000000000,169
61,5,1,155,1,19515.440125,368,43,100000000000000,161
62,4,4,86,0,19515.48946875,324,41,100000000000000,94
63,6,1,46,1,19515.85075,260,42,100000000000000,53
64,6,1,208,1,19516.576187500006,422,45,100000000000000,215
65,7,1,93,1,19517.575,308,47,100000000000000,101
66,7,1,192,1,19517.757312500005,407,46,100000000000000,200
67,6,2,232,1,19534.44925,446,23,100000000000000,240
68,4,4,17,0,19535.649437500007,398,30,100000000000000,25
69,5,2,231,1,19536.144718750005,444,28,100000000000000,238
70,6,2,217,1,19536.1873125,431,27,100000000000000,225
71,7,5,229,0,19536.82125,444,17,100000000000000,241
72,6,2,179,1,19536.945625,393,29,100000000000000,187
73,5,2,9,1,19537.131750000004,222,33,100000000000000,16
74,7,4,229,0,19537.385218750005,358,30,100000000000000,240
75,7,5,214,0,19537.40003125,429,17,100000000000000,226
76,6,2,148,1,19537.629812500007,362,30,100000000000000,156
77,6,2,8,1,19538.289593750007,222,32,100000000000000,16
78,6,2,173,1,19538.33659375,387,33,100000000000000,181
79,6,2,55,1,19538.50553125,269,31,100000000000000,63
80,4,2,87,1,19538.847500000003,299,34,100000000000000,93
81,5,2,232,1,19539.13765625,445,36,100000000000000,239
82,6,2,108,1,19539.25178125,322,35,100000000000000,116
83,7,2,146,1,19539.337843750003,361,35,100000000000000,155
84,6,2,49,1,19539.489031250007,263,37,100000000000000,57
85,6,5,229,0,19539.5774375,443,13,100000000000000,240
86,5,4,230,0,19539.635750000005,318,38,100000000000000,239
87,7,4,11,0,19539.7096875,341,36,100000000000000,22
88,6,2,37,1,19539.76734375,251,37,100000000000000,45
89,5,2,182,1,19540.1309375,395,36,100000000000000,189
90,5,5,230,0,19540.153749999994,443,21,100000000000000,240
91,4,2,6,1,19540.86971875,218,40,100000000000000,12
92,4,5,220,0,19541.24025,432,13,100000000000000,229
93,7,5,151,0,19541.315874999997,366,21,100000000000000,163
94,4,2,196,1,19541.776625,408,42,100000000000000,202
95,5,2,231,1,19541.97803125,444,34,100000000000000,238
96,6,5,11,0,19542.237,225,22,100000000000000,22
97,6,2,162,1,19542.5390625,376,41,100000000000000,170
98,5,4,9,0,19542.60684375,268,22,100000000000000,18
99,5,5,185,0,19542.977187499993,398,24,100000000000000,195
100,5,5,51,0,19543.09128125,264,17,100000000000000,61
101,4,5,103,0,19543.2166875,315,25,100000000000000,112
102,6,5,143,0,19543.21921875,357,20,100000000000000,154
103,5,5,229,0,19543.467874999995,442,26,100000000000000,239
104,7,5,187,0,19543.7098125,402,18,100000000000000,199
105,5,5,194,0,19543.76559375,407,22,100000000000000,204
106,7,5,228,0,19543.767843749996,443,20,100000000000000,240
107,5,5,10,0,19543.94084375,223,17,100000000000000,20
108,6,4,168,0,19544.020093749994,442,22,100000000000000,178
109,7,5,175,0,19544.05625,390,21,100000000000000,187
110,5,5,235,0,19544.0920625,448,27,100000000000000,245
111,6,5,39,0,19544.136187499997,253,16,100000000000000,50
112,6,4,86,0,19544.22959375,397,41,100000000000000,96
113,7,5,218,0,19544.3891875,433,17,100000000000000,230
114,4,5,9,0,19544.50203124999,221,32,100000000000000,18
115,5,5,8,0,19544.6994375,221,19,100000000000000,18
116,6,5,11,0,19544.797968749994,225,23,100000000000000,22
117,5,5,10,0,19544.936218749994,223,25,100000000000000,20
118,4,5,222,0,19545.13834375,434,22,100000000000000,231
119,6,5,29,0,19545.639656249994,243,28,100000000000000,40
120,5,5,10,0,19545.746562499997,223,33,100000000000000,20
121,6,5,229,0,19546.04828125,443,20,100000000000000,240
122,6,5,127,0,19546.092156249993,341,15,100000000000000,138
123,4,5,9,0,19546.6180625,221,22,100000000000000,18
124,4,5,231,0,19546.882468749995,443,28,100000000000000,240
125,5,5,174,0,19546.902,387,13,100000000000000,184
126,5,5,84,0,19547.181249999994,297,23,100000000000000,94
127,5,5,61,0,19547.248874999994,274,32,100000000000000,71
128,4,5,77,0,19547.3144375,289,20,100000000000000,86
129,6,5,51,0,19547.322437499995,265,24,100000000000000,62
130,6,5,12,0,19547.325468749994,226,22,100000000000000,23
131,4,5,21,0,19547.582656249993,233,26,100000000000000,30
132,4,5,114,0,19547.796874999996,326,22,100000000000000,123
133,4,5,8,0,19547.85146875,220,19,100000000000000,17
134,7,5,71,0,19547.90312499999,286,24,100000000000000,83
135,6,5,138,0,19547.9274375,352,19,100000000000000,149
136,4,5,231,0,19548.0866875,443,22,100000000000000,240
137,7,5,228,0,19548.09334374999,443,21,100000000000000,240
138,5,5,87,0,19548.12784375,300,22,100000000000000,97
139,4,5,43,0,19548.61896875,255,22,100000000000000,52
140,5,5,87,0,19548.6470625,300,20,100000000000000,97
141,5,5,36,0,19548.65396875,249,35,100000000000000,46
142,7,4,11,0,19548.832624999995,247,26,100000000000000,22
143,6,5,11,0,19548.847375,225,24,100000000000000,22
144,6,5,171,0,19548.871749999995,385,23,100000000000000,182
145,6,5,161,0,19548.917875,375,18,100000000000000,172
146,5,5,230,0,19549.3273125,443,27,100000000000000,240
147,4,5,231,0,19549.35115625,443,15,100000000000000,240
148,6,5,35,0,19549.554187499994,249,22,100000000000000,46
149,4,5,89,0,19549.585125,301,19,100000000000000,98
150,6,5,229,0,19549.72678125,443,21,100000000000000,240
151,7,5,77,0,19549.778843749995,292,27,100000000000000,89
152,6,5,115,0,19550.08734375,329,23,100000000000000,126
153,4,4,232,0,19550.82965625,264,27,100000000000000,240
154,6,5,200,0,19551.310437499997,414,24,100000000000000,211
155,5,5,128,0,19551.632156249994,341,15,100000000000000,138
156,4,5,92,0,19552.131156249994,304,23,100000000000000,101
157,7,5,161,0,19552.34453125,376,29,100000000000000,173
158,5,5,38,0,19552.432625,251,16,100000000000000,48
159,5,5,39,0,19552.6050625,252,17,100000000000000,49
160,5,5,10,0,19553.15234375,223,37,100000000000000,20
161,5,5,70,0,19553.170937499995,283,22,100000000000000,80
162,6,5,229,0,19553.68831249999,443,32,100000000000000,240
163,6,5,229,0,19553.91775,443,24,100000000000000,240
164,4,5,64,0,19554.0956875,276,28,100000000000000,73
165,6,4,159,0,19554.255593750004,277,25,100000000000000,169
166,6,4,187,0,19555.196625,261,25,100000000000000,197
167,5,6,19,0,19555.682843749993,232,24,100000000000000,30
168,5,6,11,0,19556.0713125,224,25,100000000000000,22
169,7,3,145,1,19556.393437500006,360,31,100000000000000,155
170,6,6,189,0,19556.482687499996,403,17,100000000000000,201
171,6,4,10,0,19556.569875000005,236,29,100000000000000,20
172,4,6,228,0,19556.898468749994,440,18,100000000000000,238
173,7,3,224,1,19557.186999999998,439,28,100000000000000,234
174,7,6,227,0,19557.27903125,442,26,100000000000000,240
175,6,4,71,0,19557.600375000005,426,31,100000000000000,81
176,5,3,226,1,19557.610531250004,439,34,100000000000000,234
177,6,6,193,0,19557.63937499999,407,26,100000000000000,205
178,6,3,128,1,19557.704843750005,342,34,100000000000000,137
179,4,3,83,1,19557.962625000004,295,32,100000000000000,90
180,6,3,9,1,19557.982531250003,223,33,100000000000000,18
181,5,6,39,0,19558.072156249997,252,21,100000000000000,50
182,7,3,86,1,19558.108625000004,301,35,100000000000000,96
183,7,6,13,0,19558.179656249995,228,15,100000000000000,26
184,5,6,229,0,19558.346624999995,442,19,100000000000000,240
185,6,6,225,0,19558.458999999995,439,16,100000000000000,237
186,6,3,229,1,19558.464000000007,443,35,100000000000000,238
187,4,3,226,1,19558.58046875,438,34,100000000000000,233
188,5,4,156,0,19558.75309375,259,34,100000000000000,165
189,4,3,33,1,19558.93215625,245,38,100000000000000,40
190,7,6,102,0,19559.03240625,317,18,100000000000000,115
191,7,6,13,0,19559.42425,228,25,100000000000000,26
192,6,6,55,0,19560.4255625,269,28,100000000000000,67
193,6,6,12,0,19560.506156249994,226,25,100000000000000,24
194,4,3,147,1,19560.506406250006,359,39,100000000000000,154
195,4,6,10,0,19560.821,222,18,100000000000000,20
196,7,4,11,0,19560.90671875,357,24,100000000000000,22
197,5,4,231,0,19560.909124999995,357,24,100000000000000,240
198,4,3,192,1,19560.95659375,404,36,100000000000000,199
199,6,6,228,0,19561.01465625,442,30,100000000000000,240
