,id,power,x,y,parent,is_alive,TDMA,energy
0,0,"<Power Type=External, Energy=2000 mJ>",150.0,150.0,[],True,0,2000
1,1,"<Power Type=Battery, Energy=1999 mJ>",280,283,[node2],True,2,1999.9873255624993
2,2,"<Power Type=Battery, Energy=1999 mJ>",235,282,[],True,2,1999.9740304375
3,3,"<Power Type=Battery, Energy=1999 mJ>",236,240,[],True,1,1999.967561156247
4,4,"<Power Type=Battery, Energy=1999 mJ>",281,234,[node3],True,3,1999.9873350312491
5,5,"<Power Type=Battery, Energy=1999 mJ>",239,165,[node7],True,1,1999.9903503124997
6,6,"<Power Type=Battery, Energy=1999 mJ>",288,161,[node7],True,2,1999.9903548749994
7,7,"<Power Type=Battery, Energy=1999 mJ>",287,128,[],True,3,1999.920184156245
8,8,"<Power Type=Battery, Energy=1999 mJ>",241,127,[node7],True,4,1999.9759082499988
9,9,"<Power Type=Battery, Energy=1999 mJ>",281,63,[],True,1,1999.9165364374933
10,10,"<Power Type=Battery, Energy=1999 mJ>",236,62,[node9],True,5,1999.9778150312493
11,11,"<Power Type=Battery, Energy=1999 mJ>",243,24,[node9],True,3,1999.9870584687496
12,12,"<Power Type=Battery, Energy=1999 mJ>",289,20,[node9],True,4,1999.9789166874991
13,13,"<Power Type=Battery, Energy=1999 mJ>",172,72,[node16],True,1,1999.9872774687499
14,14,"<Power Type=Battery, Energy=1999 mJ>",133,74,[node16],True,4,1999.98752859375
15,15,"<Power Type=Battery, Energy=1999 mJ>",137,28,[node16],True,3,1999.9867961249997
16,16,"<Power Type=Battery, Energy=1999 mJ>",177,26,[],True,4,1999.9549295312515
17,17,"<Power Type=Battery, Energy=1999 mJ>",70,31,[],True,2,1999.9721736874983
18,18,"<Power Type=Battery, Energy=1999 mJ>",67,73,[node17],True,2,1999.9784376249995
19,19,"<Power Type=Battery, Energy=1999 mJ>",22,72,[node20],True,3,1999.9845104999997
20,20,"<Power Type=Battery, Energy=1999 mJ>",24,31,[],True,2,1999.9783830624983
21,21,"<Power Type=Battery, Energy=1999 mJ>",23,117,[node23],True,1,1999.98449434375
22,22,"<Power Type=Battery, Energy=1999 mJ>",75,118,[node23],True,4,1999.9800506562492
23,23,"<Power Type=Battery, Energy=1999 mJ>",64,164,[],True,3,1999.8951813124982
24,24,"<Power Type=Battery, Energy=1999 mJ>",24,166,[node23],True,4,1999.9653797499986
25,25,"<Power Type=Battery, Energy=1999 mJ>",20,213,[node26],True,5,1999.9824847499997
26,26,"<Power Type=Battery, Energy=1999 mJ>",70,208,[],True,2,1999.9114215312495
27,27,"<Power Type=Battery, Energy=1999 mJ>",61,276,[node26],True,3,1999.99335471875
28,28,"<Power Type=Battery, Energy=1999 mJ>",21,275,[node26],True,4,1999.9924399375
29,29,"<Power Type=Battery, Energy=1999 mJ>",136,270,[node30],True,1,1999.99031609375
30,30,"<Power Type=Battery, Energy=1999 mJ>",190,271,[],True,2,1999.937503062497
31,31,"<Power Type=Battery, Energy=1999 mJ>",180,227,[node30],True,4,1999.9756478437491
32,32,"<Power Type=Battery, Energy=1999 mJ>",135,225,[node30],True,5,1999.9880348437498
