,t1,t2,t3,t4,energy,old duration,lost,dead,duration
0,1,4,237,1,45803.9172089695,270,0,100000000000000,242
1,1,6,21,1,45819.46595071943,54,0,100000000000000,28
2,2,3,82,1,45849.600603906816,116,0,100000000000000,87
3,5,8,13,1,45864.080868094235,133,0,100000000000000,26
4,2,7,88,1,45872.78751050047,122,0,100000000000000,97
5,5,6,127,1,45875.54442700046,256,0,100000000000000,138
6,3,2,233,0,45888.94650787539,268,0,100000000000000,238
7,3,2,184,1,45889.79845946915,219,0,100000000000000,189
8,5,6,93,1,45893.24184387539,219,0,100000000000000,104
9,3,3,234,1,45900.16655928161,269,0,100000000000000,240
10,3,3,200,1,45900.48494090661,235,0,100000000000000,206
11,3,7,55,1,45922.989809125254,90,0,100000000000000,65
12,3,6,200,1,45922.990254594006,235,0,100000000000000,209
13,3,7,55,1,45922.990703344,90,0,100000000000000,65
14,3,6,117,1,45926.19114528148,152,0,100000000000000,126
15,5,1,234,1,45927.77983543774,271,0,100000000000000,240
16,5,2,187,1,45942.24524918768,224,0,100000000000000,194
17,5,4,227,1,45945.67031681267,263,0,100000000000000,236
18,5,3,129,0,45952.011985875135,166,0,100000000000000,137
19,7,2,231,1,45954.246453343876,270,0,100000000000000,240
20,4,5,50,1,45960.14507256262,86,0,100000000000000,59
21,5,4,173,1,45970.88082025005,210,0,100000000000000,182
22,5,4,227,1,45971.14751968757,264,0,100000000000000,236
23,7,4,197,1,45982.75295640626,236,0,100000000000000,208
24,5,6,127,1,45985.80168174999,164,0,100000000000000,138
25,5,6,59,1,45985.80465646875,96,0,100000000000000,70
26,5,8,13,1,45985.80479559374,50,0,100000000000000,26
27,5,6,93,1,45985.80857365625,130,0,100000000000000,104
28,5,8,63,1,45985.80974675,100,0,100000000000000,76
29,5,6,59,1,45985.810185125,96,0,100000000000000,70
